상가업소번호,period_score,floor_score,parking_score,5bin_review_score,minmax_review_score,5bin_sales_score,rating_score,TRDAR_CD
MA010120220800000033,5,1.0,0.0,0,0.0,3.0,0.0,3120005
MA010120220800000302,5,1.0,1.0,3,0.0086039591150213,2.0,4.225,3120008
MA010120220800000971,5,1.0,0.0,5,0.108884106978174,5.0,4.8100000000000005,3120009
MA010120220800001379,5,1.0,0.0,0,0.0,1.0,0.0,3120008
MA010120220800001558,5,1.0,0.0,3,0.016156462585034,3.0,5.0,3120007
MA010120220800002698,5,1.0,0.0,5,1.0,5.0,2.0,3110023
MA010120220800002867,5,1.0,1.0,3,1.0,3.0,4.29,3110280
MA010120220800002889,5,1.0,0.0,0,0.0,3.0,0.0,3120009
MA010120220800003226,5,0.0,0.0,0,0.0,3.0,0.0,3120011
MA010120220800003634,5,1.0,0.0,1,6.469142191745375e-05,2.0,4.36,3120008
MA010120220800003898,5,1.0,0.0,3,0.0188356164383561,2.0,4.56,3110019
MA010120220800004660,1,1.0,0.0,5,0.3331608228748868,5.0,4.94,3120008
MA010120220800005369,5,1.0,0.0,1,0.0009703713287618,1.0,4.24,3120008
MA010120220800005626,5,1.0,0.0,0,0.0,4.0,0.0,3120009
MA010120220800006673,5,1.0,0.0,1,0.0023809523809523,1.0,4.585,3120007
MA010120220800007126,5,1.0,0.0,4,0.2582322357019064,5.0,4.425,3120012
MA010120220800007320,5,0.0,0.0,1,0.0011441647597254,1.0,3.2,3120094
MA010120220800007378,5,1.0,0.0,1,0.0001293828438349,5.0,0.0,3120008
MA010120220800008535,5,1.0,0.0,3,0.0151706700379266,3.0,4.23,3120006
MA010120220800009105,5,1.0,0.0,4,0.0170785353862077,3.0,4.6,3120008
MA010120220800009183,5,1.0,0.0,2,0.0151360544217687,1.0,0.0,3120007
MA010120220800009220,5,1.0,1.0,5,0.0879803338077371,5.0,4.5,3120008
MA010120220800013362,5,0.0,0.0,0,0.0,1.0,0.0,3120006
MA010120220800013429,5,1.0,1.0,4,0.1928191489361702,5.0,4.44,3120004
MA010120220800013501,5,1.0,0.0,5,0.4809358752166378,2.0,4.0,3120012
MA010120220800013605,5,1.0,0.0,2,0.0232558139534883,3.0,4.155,3110085
MA010120220800013834,5,1.0,0.0,0,0.0,1.0,0.0,3120002
MA010120220800014174,5,1.0,0.0,5,1.0,1.0,0.0,3110016
MA010120220800014726,1,0.0,0.0,0,0.0,2.0,0.0,3110542
MA010120220800014949,5,1.0,1.0,1,0.0052459016393442,4.0,3.7,3120005
MA010120220800016098,5,1.0,0.0,5,1.0,5.0,4.38,3110012
MA010120220800016667,5,0.0,0.0,0,0.0,3.0,0.0,3130240
MA010120220800016838,5,1.0,0.0,4,0.0346756839840147,3.0,0.0,3120009
MA010120220800017772,5,0.0,1.0,5,0.7936853565596081,2.0,0.0,3120045
MA010120220800018127,5,1.0,0.0,4,0.050063211125158,4.0,4.66,3120006
MA010120220800018393,5,1.0,0.0,2,0.0698360655737704,4.0,2.845,3120005
MA010120220800019983,5,1.0,0.0,5,0.2601440365360969,5.0,3.2,3120002
