상가업소번호,TRDAR_CD,period_score,parking_score,floor_score,sales_score_grouped,rating_score,5bin_review_score,profit_score_grouped,총점,성공_여부
MA010120220800000302,3120008,5,1.0,1.0,5.0,4.225,5,5.0,5.1675,1
MA010120220800000971,3120009,5,0.0,1.0,5.0,4.8100000000000005,1,5.0,3.943,1
MA010120220800001379,3120008,5,0.0,1.0,0.0,3.0,0,3.0,2.4000000000000004,0
MA010120220800001558,3120007,5,0.0,1.0,1.0,4.0,4,3.0,4.000000000000001,1
MA010120220800002698,3110023,5,0.0,1.0,5.0,2.5,1,5.0,3.25,0
MA010120220800002867,3110280,5,1.0,1.0,3.0,4.29,5,3.0,4.787,1
MA010120220800002889,3120009,5,0.0,1.0,0.0,3.0,0,1.0,2.2,0
MA010120220800003226,3120011,5,0.0,0.0,3.0,3.0,0,1.0,2.3000000000000003,0
MA010120220800003634,3120008,5,0.0,1.0,0.0,3.68,1,2.0,2.8040000000000003,0
MA010120220800003898,3110019,5,0.0,1.0,0.0,3.78,4,2.0,3.734,0
MA010120220800004660,3120008,1,0.0,1.0,3.0,4.94,1,4.0,2.882,0
MA010120220800005369,3120008,5,0.0,1.0,1.0,4.24,2,3.0,3.4720000000000004,0
MA010120220800005626,3120009,5,0.0,1.0,0.0,3.0,0,1.0,2.2,0
MA010120220800006673,3120007,5,0.0,1.0,2.0,4.585,2,3.0,3.6755000000000004,0
MA010120220800007126,3120012,5,0.0,1.0,5.0,4.425,5,5.0,5.0275,1
MA010120220800007320,3120094,5,0.0,0.0,2.0,3.1,1,3.0,2.7300000000000004,0
MA010120220800007378,3120008,5,0.0,1.0,0.0,3.0,1,1.0,2.5,0
MA010120220800008535,3120006,5,0.0,1.0,5.0,4.23,4,5.0,4.6690000000000005,1
MA010120220800009105,3120008,5,0.0,1.0,2.0,4.6,5,4.0,4.680000000000001,1
MA010120220800009183,3120007,5,0.0,1.0,3.0,3.0,4,4.0,3.9999999999999996,1
MA010120220800009220,3120008,5,1.0,1.0,5.0,3.75,2,5.0,4.125,1
MA010120220800013362,3120006,5,0.0,0.0,0.0,3.0,0,3.0,2.2,0
MA010120220800013429,3120004,5,1.0,1.0,4.0,4.44,5,2.0,4.832000000000001,1
MA010120220800013501,3120012,5,0.0,1.0,2.0,3.5,5,4.0,4.3500000000000005,1
MA010120220800013605,3110085,5,0.0,1.0,3.0,4.155,3,5.0,4.1465000000000005,1
MA010120220800013834,3120002,5,0.0,1.0,2.0,3.0,0,4.0,2.7,0
MA010120220800014174,3110016,5,0.0,1.0,2.0,3.0,5,3.0,4.1000000000000005,1
MA010120220800014726,3110542,1,0.0,0.0,3.0,3.0,0,4.0,1.7999999999999998,0
MA010120220800016098,3110012,5,0.0,1.0,5.0,4.38,5,5.0,5.014,1
MA010120220800016667,3130240,5,0.0,0.0,3.0,3.0,0,1.0,2.3000000000000003,0
MA010120220800016838,3120009,5,0.0,1.0,0.0,3.0,5,1.0,3.7,0
MA010120220800017772,3120045,5,1.0,0.0,3.0,3.0,0,1.0,2.5000000000000004,0
MA010120220800018127,3120006,5,0.0,1.0,4.0,4.66,5,5.0,4.998,1
MA010120220800018393,3120005,5,0.0,1.0,3.0,2.845,5,5.0,4.3535,1
MA010120220800019983,3120002,5,0.0,1.0,5.0,3.1,2,5.0,3.73,0
MA010120220800021606,3120002,5,0.0,1.0,4.0,3.94,5,4.0,4.682,1
MA010120220800021629,3120009,5,1.0,1.0,2.0,3.745,0,3.0,3.0235,0
MA010120220800021661,3120008,5,0.0,0.0,3.0,3.365,5,4.0,4.2095,1
MA010120220800021663,3120008,5,1.0,1.0,3.0,2.7,5,4.0,4.410000000000001,1
MA010120220800022072,3120012,5,0.0,1.0,4.0,4.335,4,4.0,4.5005,1
MA010120220800022528,3120011,4,0.0,1.0,1.0,3.0,3,1.0,3.0,0
MA010120220800022626,3120012,5,0.0,1.0,4.0,3.455,5,4.0,4.5365,1
MA010120220800022739,3110554,5,0.0,1.0,3.0,3.0,5,1.0,4.0,1
MA010120220800022809,3120009,5,1.0,1.0,0.0,3.0,0,1.0,2.4,0
MA010120220800022894,3110024,5,0.0,1.0,2.0,4.355,4,4.0,4.306500000000001,1
MA010120220800023103,3120008,5,0.0,0.0,5.0,3.915,5,5.0,4.6745,1
MA010120220800023123,3120009,5,0.0,1.0,2.0,4.0,1,1.0,3.0000000000000004,0
MA010120220800023216,3120210,5,1.0,0.0,5.0,3.85,4,5.0,4.555000000000001,1
MA010120220800023292,3120014,5,0.0,1.0,0.0,3.0,0,2.0,2.3000000000000003,0
MA010120220800023619,3110024,5,0.0,1.0,0.0,3.0,3,2.0,3.2,0
MA010120220800023973,3110009,5,0.0,1.0,5.0,4.69,5,5.0,5.107,1
MA010120220800024000,3120003,5,0.0,1.0,5.0,4.1850000000000005,5,5.0,4.9555,1
MA010120220800024291,3130010,5,0.0,1.0,0.0,3.72,3,1.0,3.3160000000000003,0
MA010120220800024464,3120043,5,0.0,1.0,2.0,2.775,1,2.0,2.7325000000000004,0
MA010120220800024651,3120103,4,0.0,1.0,3.0,4.125,5,2.0,4.237500000000001,1
MA010120220800024794,3120003,4,0.0,1.0,3.0,3.0,2,2.0,3.0,0
MA010120220800024974,3110776,5,0.0,1.0,3.0,4.215,1,3.0,3.3644999999999996,0
MA010120220800025092,3120002,5,0.0,1.0,4.0,3.2,5,4.0,4.46,1
MA010120220800025310,3110006,5,0.0,1.0,3.0,3.7,5,3.0,4.41,1
MA010120220800025912,3120012,5,0.0,1.0,0.0,3.0,1,2.0,2.6,0
MA010120220800026475,-1,5,1.0,1.0,4.0,3.595,4,4.0,4.4785,1
MA010120220800026481,3110018,5,1.0,1.0,3.0,4.43,3,4.0,4.329,1
MA010120220800026630,3120062,5,0.0,1.0,0.0,3.0,2,2.0,2.9000000000000004,0
MA010120220800026936,3110008,5,0.0,0.0,5.0,4.529999999999999,5,5.0,4.859,1
MA010120220800027131,3120007,5,0.0,1.0,0.0,3.785,0,1.0,2.4355,0
MA010120220800027631,3130020,5,0.0,1.0,0.0,3.0,0,3.0,2.4000000000000004,0
MA010120220800028144,3120015,5,1.0,1.0,4.0,3.595,4,1.0,4.1785000000000005,1
MA010120220800028316,3110197,5,0.0,1.0,0.0,3.71,1,3.0,2.9130000000000003,0
MA010120220800029250,3120007,5,0.0,1.0,2.0,3.265,4,3.0,3.8795,0
MA010120220800029362,3110021,5,0.0,1.0,4.0,4.315,5,4.0,4.794500000000001,1
MA010120220800029549,3120005,5,0.0,1.0,3.0,3.725,5,4.0,4.5175,1
MA010120220800029586,3120013,5,0.0,1.0,2.0,4.645,5,2.0,4.4935,1
MA010120220800030036,3120009,5,0.0,1.0,0.0,3.745,4,1.0,3.6235000000000004,0
MA010120220800030084,3120003,5,0.0,1.0,4.0,4.475,1,3.0,3.5424999999999995,0
MA010120220800030108,3110016,5,0.0,1.0,5.0,4.52,4,3.0,4.556,1
MA010120220800030119,3120004,5,0.0,1.0,1.0,4.720000000000001,2,4.0,3.7160000000000006,0
MA010120220800030217,3120003,5,0.0,1.0,4.0,3.0,0,5.0,3.0,0
MA010120220800030348,3120008,5,0.0,1.0,5.0,4.0,1,5.0,3.7,0
MA010120220800030710,3120009,5,0.0,1.0,5.0,4.605,1,5.0,3.8815,0
MA010120220800030749,3120026,5,0.0,1.0,1.0,3.5,1,1.0,2.75,0
MA010120220800030923,3120055,5,0.0,1.0,3.0,4.050000000000001,3,5.0,4.115,1
MA010120220800031058,3120009,5,0.0,1.0,5.0,3.0,0,5.0,3.1,0
MA010120220800031143,3120007,5,0.0,1.0,1.0,4.0,3,2.0,3.6000000000000005,0
MA010120220800031772,3120006,5,0.0,1.0,5.0,4.050000000000001,5,5.0,4.915,1
MA010120220800032087,3120015,5,0.0,1.0,0.0,3.0,0,2.0,2.3000000000000003,0
MA010120220800032114,3120062,5,0.0,1.0,1.0,4.775,2,2.0,3.5325000000000006,0
MA010120220800032118,3120007,5,0.0,1.0,5.0,4.42,5,5.0,5.026,1
MA010120220800032823,3120005,5,0.0,1.0,3.0,4.494999999999999,3,4.0,4.148499999999999,1
MA010120220800033032,3110028,5,1.0,1.0,2.0,3.69,3,1.0,3.7070000000000003,0
MA010120220800033085,3120003,5,0.0,1.0,2.0,4.705,4,3.0,4.3115000000000006,1
MA010120220800033275,3120008,5,0.0,1.0,4.0,4.17,4,4.0,4.451,1
MA010120220800033480,3120006,5,0.0,1.0,1.0,3.105,2,3.0,3.1315,0
MA010120220800033679,3110022,5,0.0,1.0,3.0,4.415,3,5.0,4.2245,1
MA010120220800033726,3120009,5,0.0,1.0,1.0,3.35,2,2.0,3.1050000000000004,0
MA010120220800033990,3120008,5,1.0,0.0,1.0,3.68,4,2.0,3.8040000000000007,0
MA010120220800034023,3120003,4,0.0,1.0,3.0,4.48,4,4.0,4.244000000000001,1
MA010120220800034190,3120005,5,0.0,1.0,3.0,3.705,0,4.0,3.0115000000000003,0
MA010120220800034347,3120013,5,0.0,1.0,3.0,4.56,5,3.0,4.668,1
MA010120220800034358,3120007,5,0.0,1.0,4.0,4.095000000000001,5,5.0,4.828500000000001,1
MA010120220800034416,3110015,5,0.0,1.0,0.0,3.0,0,3.0,2.4000000000000004,0
MA010120220800034421,3110020,5,0.0,1.0,5.0,4.795,3,3.0,4.3385,1
MA010120220800034470,3110018,5,0.0,1.0,4.0,4.255,4,4.0,4.4765,1
MA010120220800034855,3130002,5,0.0,1.0,5.0,4.585,5,5.0,5.0755,1
MA010120220800034883,3120012,5,0.0,1.0,1.0,4.595000000000001,3,1.0,3.6785,0
MA010120220800035466,3130001,5,0.0,1.0,3.0,4.835,1,2.0,3.4505,0
MA010120220800035736,3120013,5,0.0,1.0,4.0,4.09,4,4.0,4.427,1
MA010120220800035777,3120006,5,0.0,1.0,2.0,4.785,4,3.0,4.335500000000001,1
MA010120220800035795,3110008,5,0.0,1.0,4.0,3.4,5,4.0,4.5200000000000005,1
MA010120220800035960,3120015,5,1.0,1.0,2.0,3.765,1,3.0,3.3295,0
MA010120220800036168,3110012,5,0.0,1.0,1.0,4.1850000000000005,5,3.0,4.3555,1
MA010120220800036379,3130001,5,0.0,1.0,3.0,3.0,0,4.0,2.8000000000000003,0
MA010120220800036591,3120012,5,0.0,1.0,1.0,4.315,3,1.0,3.5945000000000005,0
MA010120220800036614,3110028,5,0.0,1.0,5.0,3.905,5,2.0,4.5715,1
MA010120220800036866,3120008,5,0.0,1.0,0.0,3.875,1,3.0,2.9624999999999995,0
MA010120220800037691,3120014,5,0.0,1.0,0.0,4.0,0,2.0,2.6000000000000005,0
MA010120220800037703,3110003,5,0.0,1.0,3.0,3.8,4,3.0,4.14,1
MA010120220800037739,3120007,5,0.0,1.0,5.0,4.595000000000001,5,5.0,5.0785,1
MA010120220800038013,-1,5,0.0,1.0,1.0,3.355,3,1.0,3.3065,0
MA010120220800038167,3120012,5,1.0,1.0,5.0,3.85,5,5.0,5.055000000000001,1
MA010120220800038168,3120003,5,0.0,1.0,4.0,3.75,2,5.0,3.825,0
MA010120220800038309,3120004,5,0.0,1.0,2.0,3.455,2,1.0,3.1365000000000007,0
MA010120220800038462,3110028,5,0.0,1.0,1.0,2.95,3,4.0,3.4850000000000003,0
MA010120220800038508,3110002,5,0.0,1.0,3.0,3.8,5,3.0,4.4399999999999995,1
MA010120220800038802,3120007,5,0.0,0.0,0.0,3.0,0,2.0,2.1,0
MA010120220800038884,3120008,5,0.0,1.0,5.0,4.88,5,1.0,4.764,1
MA010120220800038914,3110002,5,0.0,1.0,3.0,4.265,2,3.0,3.6795,0
MA010120220800039010,3120008,5,0.0,1.0,0.0,3.0,0,2.0,2.3000000000000003,0
MA010120220800039169,3110037,5,0.0,1.0,3.0,4.065,2,5.0,3.8195000000000006,0
MA010120220800039397,3120006,5,0.0,1.0,4.0,3.92,3,5.0,4.176,1
MA010120220800039454,3130001,4,0.0,1.0,0.0,3.0,0,1.0,2.0,0
MA010120220800039477,3120008,5,0.0,1.0,5.0,3.725,0,5.0,3.3175,0
MA010120220800039586,3120072,5,0.0,1.0,2.0,3.0,0,1.0,2.4000000000000004,0
MA010120220800039628,3110018,5,0.0,1.0,4.0,2.92,4,3.0,3.976,1
MA010120220800039668,3110009,5,0.0,1.0,5.0,4.465,5,5.0,5.0395,1
MA010120220800040038,3110016,5,1.0,1.0,3.0,3.99,5,3.0,4.697,1
MA010120220800040127,3120003,5,0.0,1.0,1.0,4.220000000000001,2,4.0,3.5660000000000003,0
MA010120220800040278,3120002,5,0.0,1.0,2.0,3.0,0,4.0,2.7,0
MA010120220800040317,3120007,5,0.0,1.0,1.0,4.17,4,2.0,3.951,1
MA010120220800040374,3120016,5,0.0,0.0,5.0,3.665,1,5.0,3.3994999999999997,0
MA010120220800040575,3120012,5,0.0,0.0,5.0,3.7,5,5.0,4.61,1
MA010120220800040660,3120008,5,0.0,1.0,1.0,3.545,3,2.0,3.4635000000000002,0
MA010120220800040990,3110544,5,0.0,1.0,3.0,4.0,1,2.0,3.2,0
MA010120220800041059,3120003,5,0.0,1.0,5.0,4.055,4,5.0,4.6165,1
MA010120220800041256,3120006,5,0.0,1.0,2.0,3.0,0,2.0,2.5000000000000004,0
MA010120220800041328,3130010,5,0.0,1.0,3.0,3.705,1,4.0,3.3115,0
