상가업소번호,법정동코드,지번본번지,지번부번지,상호명,지점명,상권_코드,전용면적,리뷰수,별점,카페_추정매출
MA010120220800672495,1162010200,1602.0,1.0,가비수구.거니는집,,3130284,,0.0,5.0,
MA0101202406A0465702,1171011100,48.0,2.0,카페인중독잠실,방이점,3120233,,11.0,2.8,11023011.685230216
MA0106202410A0428092,1174010100,338.0,17.0,제이든커피로스터스JDCR,,3111080,,0.0,4.62,80007900.45
MA010120220803375113,1141011700,131.0,1.0,커피가게동경연희점,,3130174,,256.0,4.025,
MA010120220813491137,1168010700,510.0,11.0,컴포즈커피강남,시장점,3130302,,20.5,4.525,
MA0101202310A0083403,1138010500,190.0,8.0,컴포즈커피은평서북,병원점,3110450,,8.0,4.7,5214907.977142857
MA010120220814115583,1159010500,43.0,5.0,더치앤빈흑리단길점,,3110842,,19.0,4.34,95137912.15936255
MA010120220807123745,1114015700,207.0,2.0,세운나다방,,3130033,,148.0,4.6,15866473.563000072
MA010120220813241715,1114015700,207.0,2.0,브라운컬렉션,,3130033,,82.0,4.58,14211733.421971083
MA0101202303A0114093,1114015700,207.0,2.0,서울바나나커피,을지로4가점,3130033,,868.0,4.3,33918184.19240723
MA010120220803699812,1114015700,207.0,2.0,챔프커피,,3130033,,1493.0,4.246666666666666,49588071.891545385
MA0101202307A0001081,1114015700,207.0,2.0,이프프커피,,3130033,,457.0,4.7,23613666.041453976
MA0101202305A0155336,1114015700,207.0,2.0,헤일리스커피,을지로점,3130033,,31.0,4.574999999999999,12933070.585721409
MA0101202406A0288695,1114015700,207.0,2.0,리오네커피,,3130033,,135.0,4.6,15540539.898857998
MA010120220807113501,1114015700,207.0,2.0,해피클럽,,3130033,,0.0,4.47,12155844.155844156
MA0101202409A0004940,1114015700,207.0,2.0,톤즈,,3130033,,409.0,4.9,22410218.666160166
MA010120220806525068,1114015700,207.0,2.0,빈티지라이언,,3130033,,0.0,4.28,12155844.155844156
MA010120220810045634,1114015700,207.0,2.0,호랑이,,3130033,,3467.0,4.01,99079845.20050335
MA0101202209A0021984,1117010800,260.0,1.0,아르팡,,3130057,,5.0,5.0,
MA0106202303A1044347,1120010700,19.0,54.0,멀티커피,한양대점,3130069,,47.0,4.9,66236406.17614354
MA010120220805143379,1120010700,19.0,54.0,티아트커피로스터스,,3130069,,0.0,4.5,39324766.98214285
MA010120220802972784,1129013700,64.0,1.0,카페쏙,,3110323,,34.0,4.1,31727544.33366174
MA010120220804964341,1126010100,185.0,1.0,단조,,3130106,,218.0,4.495,329984953.8112141
MA010120220812595260,1132010600,670.0,,이디야커피,,3110393,,19.217391304347824,3.804509803921569,39964905.605753824
MA010120220807929010,1123010300,1019.0,,카페숲,,3130088,,0.0,4.63,
MA0106202406A2465633,1123010300,1036.0,,스타벅스,경동1960,3130088,,126.05636743215031,4.132901878914405,
MA010120220800600549,1141011600,30.0,20.0,이디아,,3120094,,37.0,2.2,34933864.50959648
MA0101202409A0021931,1141012000,345.0,4.0,에나꼬레,,3130173,,0.0,,
MA010120220810199262,1141011800,36.0,6.0,태무든TAEMOODEN,,3110525,,0.0,5.0,28123235.20408163
MA0101202311A0083488,1159010700,1005.0,1.0,두번째디저트,,3110852,,0.0,4.44,13983335.625000002
MA0106202406A2465517,1141011600,18.0,55.0,스타벅스,신촌,3130175,,126.05636743215031,4.132901878914405,508482072.5666138
MA010120220803658119,1126010100,496.0,18.0,이디야사가정점,,3120068,,39.0,4.265,286958439.7535339
MA010120220810433268,1111017500,365.0,,로스토,,3110037,,30.0,5.0,8872307.939432658
MA0101202311A0016316,1111017500,365.0,,청림무역,,3110037,,0.0,,8279833.2857142845
