상가업소번호,상호명,도로명주소,지점명,시군구명,상가유형,행정동명_추정,임대료_분류,전용면적,전용면적(평),평당임대료,추정임대료(천원)
MA010120220800672495,가비수구.거니는집,서울특별시 관악구 신원로 23,,관악구,집합,신림동,기타,1517.3275954516637,458.9895321712335,115.934406,53212.678772489846
MA0101202406A0465702,카페인중독잠실,서울특별시 송파구 위례성대로2길 11,,,,,,,,,
MA0106202410A0428092,제이든커피로스터스JDCR,서울특별시 강동구 상암로51길 31,,강동구,소규모,명일동,기타,110.23455374143624,33.34580245067343,102.97567,3433.8063490457384
MA010120220803375113,커피가게동경연희점,서울특별시 서대문구 연희맛로 23,,서대문구,집합,연희동,기타,2706.7668740028453,818.793294816034,150.645306,123347.36644830964
MA010120220813491137,컴포즈커피강남,서울특별시 강남구 압구정로2길 46,시장점,강남구,집합,신사동,기타,1227.033095816304,371.1758411931466,225.257212,83610.03514892297
MA0101202310A0083403,컴포즈커피은평서북,서울특별시 은평구 갈현로11길 12,병원점,은평구,소규모,구산동,기타,119.97721091779071,36.29294298438826,149.785798,5436.167426685097
MA010120220814115583,더치앤빈흑리단길점,서울특별시 동작구 서달로14길 40,,동작구,소규모,흑석동,기타,107.77540297320476,32.60191269078733,150.645306,4911.325113488941
MA010120220807123745,세운나다방,서울특별시 중구 을지로 157,,중구,집합,산림동,기타,7796.622436234671,2358.467673856456,123.273282,290736.0506471909
MA010120220813241715,브라운컬렉션,서울특별시 중구 을지로 157,,중구,집합,산림동,기타,7796.622436234671,2358.467673856456,145.984128,344298.8467841231
MA0101202303A0114093,서울바나나커피,서울특별시 중구 을지로 157,을지로4가점,중구,집합,산림동,기타,7796.622436234671,2358.467673856456,174.083428,410570.1374921178
MA010120220803699812,챔프커피,서울특별시 중구 을지로 157,,중구,집합,산림동,기타,7796.622436234671,2358.467673856456,115.934406,273427.54883874994
MA0101202307A0001081,이프프커피,서울특별시 중구 을지로 157,,중구,집합,산림동,기타,7796.622436234671,2358.467673856456,123.273282,290736.0506471909
MA0101202305A0155336,헤일리스커피,서울특별시 중구 을지로 157,을지로점,중구,집합,산림동,기타,7796.622436234671,2358.467673856456,225.257212,531261.8528050305
MA0101202406A0288695,리오네커피,서울특별시 중구 을지로 157,,중구,집합,산림동,기타,7796.622436234671,2358.467673856456,140.33121,330966.62241816183
MA010120220807113501,해피클럽,서울특별시 중구 을지로 157,,중구,집합,산림동,기타,7796.622436234671,2358.467673856456,174.083428,410570.1374921178
MA0101202409A0004940,톤즈,서울특별시 중구 을지로 157,,중구,집합,산림동,기타,7796.622436234671,2358.467673856456,139.60393399999998,329251.36548219016
MA010120220806525068,빈티지라이언,서울특별시 중구 을지로 157,,중구,집합,산림동,기타,7796.622436234671,2358.467673856456,226.84399600000003,535004.2315744233
MA010120220810045634,호랑이,서울특별시 중구 을지로 157,,중구,집합,산림동,기타,7796.622436234671,2358.467673856456,114.744318,270620.7647617055
MA0101202209A0021984,아르팡,서울특별시 용산구 효창원로 270,,용산구,집합,서계동,기타,1461.98644658814,442.2489099728175,177.984272,78713.35028430546
MA0106202303A1044347,멀티커피,서울특별시 성동구 마조로 17,한양대점,성동구,소규모,행당동,기타,91.46728986473828,27.66873067479529,148.794058,4116.942716811871
MA010120220805143379,티아트커피로스터스,서울특별시 성동구 마조로 17,,성동구,소규모,행당동,기타,91.46728986473828,27.66873067479529,149.785798,4144.382903771292
MA010120220802972784,카페쏙,서울특별시 성북구 장월로1길 66,,성북구,소규모,상월곡동,기타,42.66234935526772,12.905302606106757,136.463424,1761.1017813854514
MA010120220804964341,단조,서울특별시 중랑구 중랑천로10길 68,,중랑구,소규모,면목동,기타,223.55324206969044,67.62455141559998,226.84399600000003,15340.22347082216
MA010120220812595260,이디야커피,서울특별시 도봉구 방학로 171,,도봉구,소규모,방학동,기타,139.64773070118594,42.24324844249075,115.107956,4862.533983015294
MA010120220807929010,카페숲,서울특별시 동대문구 고산자로36길 3,,동대문구,집합,제기동,기타,945.8260450299214,286.11109112164115,145.984128,41767.67814852133
MA0106202406A2465633,스타벅스,서울특별시 동대문구 고산자로36길 3,경동1960,동대문구,집합,제기동,기타,945.8260450299214,286.11109112164115,145.984128,41767.67814852133
MA010120220800600549,이디아,서울특별시 서대문구 신촌로 87-20,,서대문구,소규모,창천동,기타,71.88461675755107,21.744998716664973,101.256654,2201.8258112837893
MA0101202409A0021931,에나꼬레,서울특별시 서대문구 가재울로6길 53-87,,서대문구,집합,남가좌동,기타,917.2195696508552,277.457671259863,285.224424,79137.70446947578
MA010120220810199262,태무든TAEMOODEN,서울특별시 서대문구 세검정로1길 105,,서대문구,소규모,홍은동,기타,40.6566779596686,12.298589739145925,131.33943399999998,1615.2898153376332
MA0101202311A0083488,두번째디저트,서울특별시 동작구 사당로28길 13,,동작구,소규모,사당동,기타,106.45874932157506,32.203626753456064,90.975616,2929.7447813297454
MA0106202406A2465517,스타벅스,서울특별시 서대문구 연세로 10-1,신촌,서대문구,소규모,창천동,기타,163.3541567807414,49.414410061328994,102.97567,5088.481983720094
MA010120220803658119,이디야사가정점,서울특별시 중랑구 면목로 325,,중랑구,소규모,면목동,기타,78.91682133303559,23.87223102820364,208.033994,4966.23556648793
MA010120220810433268,로스토,서울특별시 종로구 숭인동길 68,,종로구,소규모,숭인동,기타,145.2797574110872,43.94692885567402,123.273282,5417.482153859441
MA0101202311A0016316,청림무역,서울특별시 종로구 숭인동길 68,,종로구,소규모,숭인동,기타,145.2797574110872,43.94692885567402,123.273282,5417.482153859441
MA010120220812360152,9카페,서울특별시 동대문구 장한로 3,,동대문구,집합,장안동,기타,518.6876635176153,156.90231215367393,136.463424,21411.42675000716
MA010120220803705421,쥬씨삼호가든,서울특별시 서초구 고무래로10길 5,,,,,,,,,
MA0101202305A0094771,몹시,서울특별시 종로구 자하문로 36,,종로구,소규모,통의동,기타,286.652056645813,86.71185693200223,115.107956,9981.224612407208
MA010120220800795375,마룬여유,서울특별시 서대문구 연희로26가길 14,,서대문구,소규모,연희동,기타,121.87877364751373,36.86816312163885,145.984128,5382.166644274205
MA0101202212A0069021,탐앤탐스홍제역점,서울특별시 서대문구 통일로 484,,서대문구,집합,홍제동,기타,9313.59852953515,2817.350877105436,145.984128,411288.5110642722
MA010120220810013229,홍제동냇길,서울특별시 서대문구 통일로 484,,서대문구,집합,홍제동,기타,9313.59852953515,2817.350877105436,131.33943399999998,370029.2695784314
MA010120220804670501,아케디뜨,서울특별시 용산구 신흥로 95-15,,용산구,소규모,용산동2가,기타,152.5532505263157,46.147150622032704,102.97567,4752.033753894734
MA0101202210A0069909,잇푸쿠,서울특별시 마포구 성암로3길 34,,마포구,소규모,중동,기타,114.23595889463448,34.55622206262765,150.645306,5205.732646828494
MA0101202411A0148010,메가엠지씨커피북한산,서울특별시 도봉구 도봉로136가길 4,아이파크점,도봉구,집합,창동,기타,716.227152071217,216.6577385417197,101.256654,21938.03766794137
MA010120220811453534,까페캠퍼,서울특별시 송파구 백제고분로15길 16,잠실점,송파구,소규모,잠실동,기타,129.2010568617336,39.0831438265272,102.97567,4024.612921243002
MA010120220806570363,설빙,서울특별시 관악구 보라매로3길 29,,관악구,집합,봉천동,기타,2384.098985228658,721.1866976915294,115.107956,83014.32666566187
MA0101202308A0030688,매머드익스프레스보라매대교점,서울특별시 관악구 보라매로3길 29,,관악구,집합,봉천동,기타,2384.098985228658,721.1866976915294,90.975616,65610.40407349267
MA0101202303A0088204,커피앤김밥,서울특별시 관악구 보라매로3길 29,,관악구,집합,봉천동,기타,2384.098985228658,721.1866976915294,226.84399600000003,163596.8723663905
MA0101202212A0063472,원두볶는사람들,서울특별시 강동구 성내로9길 45,,강동구,소규모,성내동,기타,99.94471658547586,30.233140717973217,131.33943399999998,3970.803589940956
MA0101202406A0348730,이디야커피창동학원가점,서울특별시 도봉구 해등로16길 61,,도봉구,소규모,창동,기타,123.58497930321067,37.38428800992519,101.256654,3785.407916057343
MA0106202406A2465527,스타벅스,서울특별시 성북구 고려대로24길 51,고대,성북구,집합,안암동5가,기타,592.4142144034449,179.20449343682162,150.645306,26996.315750364985
MA010120220800594420,앨리스,서울특별시 서대문구 이화여대길 52-31,,서대문구,소규모,대현동,기타,70.11259622268248,21.208964917019323,148.794058,3155.7679559829385
MA010120220814090613,아키비스트,서울특별시 종로구 효자로13길 52,,종로구,소규모,효자동,기타,109.61893017690316,33.159577160415985,208.033994,6898.319276032516
MA010120220812595540,멜로드,서울특별시 동작구 상도로49길 7,,동작구,소규모,상도동,기타,188.6965756224762,57.08045726374136,174.083428,9936.761672279596
MA0101202307A0029658,요거요거요거트,서울특별시 강서구 공항대로53가길 54,,강서구,소규모,등촌동,기타,89.45116975513815,27.058857086072404,148.794058,4026.1971506787686
MA010120220807372753,바스크,서울특별시 성북구 삼양로9길 10-2,,성북구,소규모,길음동,기타,103.8128518824709,31.40324637983873,145.984128,4584.375539129915
MA010120220804283432,커피인페르노,서울특별시 송파구 거마로9길 24,,송파구,소규모,거여동,기타,176.34443890814418,53.34395272192637,114.744318,6120.915474501685
MA010120220811802533,커피볶는김여사,서울특별시 서대문구 세검정로1길 107,,서대문구,소규모,홍은동,기타,58.48698394113808,17.692233027145647,140.33121,2482.772468301312
MA010120220813194426,구루구루,서울특별시 동작구 서달로14길 42,,동작구,소규모,흑석동,기타,102.39125645049074,30.97321569680281,123.273282,3818.1699530388
MA0101202308A0087121,미쉐,서울특별시 마포구 홍익로3길 35,,마포구,소규모,서교동,기타,48.432302265941736,14.650705507272592,149.785798,2194.46761566982
MA010120220814138033,디자인정인플러스,서울특별시 성북구 성북로15길 32,,성북구,소규모,성북동,기타,83.66644799974007,25.308986629481534,149.785798,3790.9267588682224
MA0101202306A0098791,봉명동내커피,서울특별시 노원구 공릉로41나길 31,,노원구,소규모,공릉동,기타,96.08115379490565,29.064418233076907,136.463424,3966.2300286537047
MA0101202310A0014635,이디야팀이공사점,서울특별시 중구 마장로 30,,중구,집합,신당동,기타,664.1277546988055,200.89774175655077,285.224424,57300.94267541293
MA010120220804369500,메가엠지씨커피창동역점,서울특별시 도봉구 마들로11가길 13,,도봉구,집합,창동,기타,374.3959217785208,113.25425669384742,102.97567,11662.432963400925
MA010120220813450022,공활,서울특별시 강서구 개화동로27나길 43,,강서구,소규모,방화동,기타,86.21409173473606,26.079645391353395,285.224424,7438.551834873027
MA010120220800992852,어깨동무,서울특별시 금천구 금하로24길 46,,금천구,소규모,시흥동,기타,106.10211040557417,32.09574396683833,208.033994,6677.005807822781
MA010120220812381987,커피온리,서울특별시 서초구 서초대로 302,교대역점,서초구,소규모,서초동,기타,245.10702854620575,74.14454248478607,90.975616,6745.345425591584
MA0101202406A0006355,메가엠지씨커피남부터미널역점,서울특별시 서초구 효령로 310,,서초구,소규모,서초동,기타,270.11540065249244,81.70954100444445,140.33121,11466.398757698304
MA010120220803746048,카페다인,서울특별시 성동구 왕십리로24길 19,,성동구,소규모,도선동,기타,79.565443164109,24.06843824917085,139.60393399999998,3360.0486648203223
MA010120220805528341,남산#52LAB,서울특별시 중구 퇴계로14길 19,,중구,소규모,회현동3가,기타,20.287975536561184,6.137084982927335,140.33121,861.2245615270223
MA010120220812223813,베비아모,서울특별시 노원구 동일로184길 37,,노원구,소규모,공릉동,기타,60.8856951970885,18.417839916839647,115.107956,2120.0399067626217
MA010120220813622947,오루베,서울특별시 성동구 왕십리로31길 8,,성동구,소규모,하왕십리동,기타,52.9446933996856,16.01569768276532,226.84399600000003,3633.0648610864255
MA010120220812249653,프리커피,서울특별시 관악구 낙성대역길 88,,관악구,소규모,봉천동,기타,109.27215622891131,33.054678513192364,164.397434,5434.10432926376
MA0101202210A0089507,노브.,서울특별시 도봉구 도당로27길 38,,도봉구,소규모,방학동,기타,164.52870172727742,49.76970830881403,114.744318,5710.7912369538
MA010120220810325777,히든아일렛,서울특별시 중구 세종대로14길 17-5,,중구,소규모,북창동,기타,113.79118754259166,34.42167933407697,114.744318,3949.692119603356
MA010120220812816297,피카워크샵,서울특별시 성동구 상원10길 23,,성동구,소규모,성수동1가,기타,73.0568828389631,22.09960761055209,225.257212,4978.095996646946
MA010120220812692268,셀렉토커피방학역점,서울특별시 도봉구 도봉로152길 16,,도봉구,집합,방학동,기타,1324.135695100694,400.5492452963561,145.984128,58473.83229564664
MA010120220814131733,미러볼커피스탠드,서울특별시 종로구 창경궁로 142,,종로구,소규모,원남동,기타,32.5523853947127,9.847052270165376,90.975616,895.8416460624935
MA010120220808471611,단미제과,서울특별시 강북구 삼양로98길 49,,강북구,소규모,수유동,기타,79.24510160630058,23.971535363996782,136.463424,3271.237794308088
MA010120220806750334,파크사이드,서울특별시 마포구 백범로16안길 31,,마포구,소규모,대흥동,기타,72.42205982842553,21.907574514013408,149.785798,3281.4435308259604
MA010120220807072648,코지,서울특별시 송파구 올림픽로32길 18,,송파구,소규모,방이동,기타,291.16493699600323,88.07699709480406,150.645306,13268.38617890787
MA010120220805629360,데이데이,서울특별시 성북구 동소문로22길 14,,성북구,소규모,동선동1가,기타,65.6346265901084,19.854385198774395,174.083428,3456.319436235108
MA010120220803903262,라운드테이블,서울특별시 성북구 보문로30길 40-2,,성북구,소규모,안암동1가,기타,93.28381802850636,28.2182279715973,102.97567,2905.790931587973
MA010120220812684551,리예몬,서울특별시 동대문구 답십리로 159-16,,동대문구,소규모,답십리동,기타,78.37671844265736,23.708850639075976,145.984128,3461.115886427749
MA0101202406A0003591,미학당,서울특별시 동작구 상도로37길 81,,동작구,소규모,상도동,기타,252.97818808316308,76.52555753014795,123.273282,9433.55663362115
MA0101202406A0354707,커피베이베이크앤비스트로서순라길점,서울특별시 종로구 율곡로10길 27-13,,종로구,소규모,권농동,기타,133.3849082792483,40.34875318508328,131.33943399999998,5299.382405934534
MA0101202306A0081109,컴포즈커피숭실대점,서울특별시 동작구 상도로 357,,동작구,집합,상도동,기타,990.5680894892344,299.6454986657494,285.224424,85466.21476113115
MA010120220812045492,집생로커피,서울특별시 광진구 아차산로51길 90,,광진구,소규모,구의동,기타,105.67604909788648,31.966861001236158,225.257212,7200.765985529985
MA010120220805502965,에그허그,서울특별시 광진구 천호대로143길 8-5,,광진구,소규모,광장동,기타,129.26371795865234,39.10209872304808,149.785798,5856.939060706538
MA010120220804498801,뷰파트너스주,서울특별시 강남구 봉은사로 107,,강남구,소규모,논현동,기타,203.1035652946796,61.43855202815646,139.60393399999998,8577.06356239432
MA0101202212A0097331,현욱기획,서울특별시 강남구 학동로101길 26,,강남구,집합,청담동,기타,1805.6556255457024,546.2083687899154,174.083428,95085.82524123669
MA0106202201A0722612,커피를만드는사람들,서울특별시 강남구 학동로101길 26,,강남구,집합,청담동,기타,1805.6556255457024,546.2083687899154,90.975616,49691.64281501773
MA010120220803865372,카페오,서울특별시 광진구 자양로13나길 27,,광진구,소규모,자양동,기타,108.71743724044984,32.886876774290585,90.975616,2991.903872857179
MA0101202409A0141583,퐁치커피익스프레스,서울특별시 노원구 동일로176길 19-20,공릉점,노원구,소규모,공릉동,기타,208.26151155022416,62.99882374923593,208.033994,13105.896921855605
MA0106202406A2464980,스타벅스,서울특별시 강남구 강남대로 302-2,,,,,,,,,
MA010120220812515182,하우스브란트,서울특별시 서초구 신반포로3길 8,,서초구,집합,반포동,기타,1764.5529855210311,533.7748761331693,174.083428,92921.3602175375
MA010120220806653613,카페301,서울특별시 서초구 신반포로3길 8,,서초구,집합,반포동,기타,1764.5529855210311,533.7748761331693,102.97567,54965.82549898011
MA010120220803675047,퀼트카페인,서울특별시 서초구 신반포로3길 8,,서초구,집합,반포동,기타,1764.5529855210311,533.7748761331693,123.273282,65800.18083007925
MA0101202406A0075604,컴포즈양천신곡점,서울특별시 양천구 신월로 170,,양천구,집합,신월동,기타,334.3122820789952,101.12901024834991,208.033994,21038.271911231164
MA0101202311A0105550,스타트카페,서울특별시 중구 남대문시장4길 9,,중구,집합,남창동,기타,2076.573464369631,628.1606462489052,164.397434,103267.99838310176
MA010120220800117732,커피집,서울특별시 중구 남대문시장4길 9,,중구,집합,남창동,기타,2076.573464369631,628.1606462489052,102.97567,64685.263415114
MA010120220814124659,나를위한하루날위한커피,서울특별시 동작구 동작대로35길 53,사당점,동작구,소규모,사당동,기타,77.72414495090163,23.51144804613153,90.975616,2138.968469048813
MA010120220806848914,카페크레프리,서울특별시 도봉구 삼양로144길 18,,도봉구,소규모,쌍문동,기타,240.11130211914204,72.63334204100128,139.60393399999998,10139.900288491368
MA010120220806476231,커피프릭COFFEEFREAK,서울특별시 마포구 굴레방로7길 22,,마포구,소규모,아현동,기타,60.32655826301168,18.248701755403133,177.984272,3247.981896880549
MA010120220802780322,골목카페,서울특별시 종로구 돈화문로9길 17,,종로구,소규모,돈의동,기타,162.4830762746875,49.1509093940007,115.107956,5657.660715884619
MA010120220806496281,구움블루스,서울특별시 양천구 오목로56길 5,,양천구,소규모,목동,기타,112.69801232015456,34.09099531736783,136.463424,4652.173948575981
MA0101202302A0078446,메가엠지씨커피방배카페,서울특별시 서초구 방배중앙로 188,거리점,서초구,집합,방배동,기타,556.1876874463966,168.2460183454524,114.744318,19305.274631264427
MA0101202310A0029065,네스트앤드위스탠연남마포지점,서울특별시 마포구 연희로1길 18,,,,,,,,,
MA0101202301A0001083,카페청량,서울특별시 동대문구 홍릉로3길 18,,동대문구,소규모,제기동,기타,53.74056960717255,16.25644915214851,114.744318,1865.335171064959
MA0101202406A0524166,문보드레,서울특별시 양천구 오목로15길 22,,양천구,소규모,신월동,기타,116.90136907236338,35.362505013117364,114.744318,4057.646520501733
MA010120220802054670,커피도가헤리티지,서울특별시 서대문구 이화여대5길 9,,서대문구,소규모,대현동,기타,216.13943577062088,65.38188510212986,145.984128,9544.71748363062
MA0101202309A0037814,꾸에바마테라,서울특별시 용산구 소월로20길 28-1,,용산구,소규모,용산동2가,기타,105.73036769298758,31.983292302313384,149.785798,4790.642960169267
MA010120220800854284,매머드익스프레스,서울특별시 영등포구 국회대로70길 22,여의도점,영등포구,집합,여의도동,기타,446.2928133800127,135.00296853409543,131.33943399999998,17731.2134755879
MA010120220807773162,더로비,서울특별시 도봉구 방학로 171-5,,도봉구,소규모,방학동,기타,96.61110242398728,29.224726971984776,115.934406,3388.1513620092337
MA0101202301A0080507,바바아시,서울특별시 광진구 자양로50길 48,,광진구,소규모,구의동,기타,155.78710172278602,47.12538620690484,131.33943399999998,6189.421551446288
MA0101202406A0459675,수유상점101,서울특별시 강북구 도봉로 261,,강북구,집합,수유동,기타,1143.878773227446,346.02177180332933,115.934406,40115.82857708654
MA0101202306A0054244,커피마마퀸,서울특별시 강북구 도봉로 261,,강북구,집합,수유동,기타,1143.878773227446,346.02177180332933,102.97567,35631.82378603495
MA0101202210A0034673,업사이드커피을지로,서울특별시 중구 을지로 167,,중구,집합,을지로4가,기타,573.618800278388,173.51890624913423,226.84399600000003,39361.72207510299
MA010120220804108887,그랑카페,서울특별시 강동구 고덕로3길 10,,강동구,소규모,암사동,기타,166.9823386885689,50.511930149606414,226.84399600000003,11458.3280808096
MA0101202305A0146430,이디야커피망우역점,서울특별시 중랑구 망우로55길 11-10,,,,,,,,,
MA010120220814019498,트래버틴용산,서울특별시 용산구 한강대로7길 18-7,,용산구,소규모,한강로3가,기타,70.48729081366446,21.322309520740657,164.397434,3505.3329721635337
MA010120220807721966,디저트39,서울특별시 양천구 신월로 350,,양천구,소규모,신정동,기타,242.92202739689796,73.48358261143987,285.224424,20959.312523804358
MA010120220811871907,사랑방,서울특별시 영등포구 영등포로 219,,영등포구,집합,영등포동5가,기타,2449.733993615561,741.0411983833144,123.273282,91350.58062192424
MA010120220808832530,로타리휴계실,서울특별시 영등포구 영등포로 219,,영등포구,집합,영등포동5가,기타,2449.733993615561,741.0411983833144,208.033994,154161.76021822725
MA0101202308A0016993,삼이일공커피공장,서울특별시 서초구 양재천로11길 11,,서초구,소규모,양재동,기타,52.25354998462653,15.806627740524693,136.463424,2157.026543365383
MA010120220810577365,토마토,서울특별시 마포구 토정로31길 63,,,,,,,,,
MA0101202406A0046626,수빈70,서울특별시 광진구 자양로50길 54,,광진구,소규모,구의동,기타,152.88493448448656,46.24748456787663,225.257212,10417.579435772914
MA010120220803980265,커피오리진,서울특별시 강북구 솔매로41길 39,,강북구,소규모,미아동,기타,191.51350057702388,57.9325732279702,226.84399600000003,13141.65640959538
MA010120220803674019,메가엠지씨커피강동역점,서울특별시 강동구 천호대로 1107,,강동구,집합,길동,기타,1479.853648480886,447.653714223754,149.785798,67052.16881266894
MA010120220806880475,카페502호,서울특별시 중랑구 망우로32길 23,,중랑구,집합,상봉동,기타,4503.999241269307,1362.453639442588,177.984272,242495.31914993952
MA010120220803878389,이앤에스에스,서울특별시 마포구 독막로6길 27,,마포구,소규모,합정동,기타,103.84530664511266,31.41306390135902,150.645306,4732.230623817783
MA010120220805703628,건강한농부사회적협동조합,서울특별시 금천구 시흥대로61길 31,,금천구,소규모,시흥동,기타,190.7809264232133,57.710970543654575,131.33943399999998,7579.726206794263
MA010120220813342186,크레마노,서울특별시 용산구 소월로20길 28,해방촌점,용산구,소규모,용산동2가,기타,105.73036769298758,31.983292302313384,115.934406,3707.9639949930743
MA0101202406A0061679,카페인중독,서울특별시 송파구 문정로4길 26,문정점,송파구,소규모,문정동,기타,180.08028236580924,54.474040282476025,114.744318,6250.58660091724
MA010120220813711418,카페보보,서울특별시 노원구 상계로9가길 26,,노원구,소규모,상계동,기타,62.47776964504507,18.89944027014492,139.60393399999998,2638.436212110253
MA010120220812329257,금호알베르,서울특별시 성동구 금호로3길 14,,성동구,소규모,금호동4가,기타,171.39904882884312,51.84797895481975,115.934406,6010.964642427529
MA010120220805446012,알베르금호,서울특별시 성동구 금호로3길 14,,성동구,소규모,금호동4가,기타,171.39904882884312,51.84797895481975,90.975616,4716.901823769763
MA010120220802964354,다나제과,서울특별시 서대문구 이화여대길 52-33,,서대문구,소규모,대현동,기타,87.73240327953026,26.53893256686135,149.785798,3975.155192595516
MA010120220806478777,커피베이성수세종,서울특별시 성동구 성수일로10길 26,,,,,,,,,
MA010120220800219104,메르센,서울특별시 마포구 성미산로 198,,마포구,집합,연남동,기타,936.3385231007454,283.2411286528965,131.33943399999998,37200.72952279261
MA010120220808123411,카페네이,서울특별시 마포구 성미산로 198,,마포구,집합,연남동,기타,936.3385231007454,283.2411286528965,131.33943399999998,37200.72952279261
MA010120220800209837,카페리브레,서울특별시 마포구 성미산로 198,,마포구,집합,연남동,기타,936.3385231007454,283.2411286528965,114.744318,32500.310136826876
MA0106202201A0153478,커피빈순화점,서울특별시 중구 통일로 78,코리아,중구,집합,의주로1가,기타,1578.3165097208732,477.4385957168834,149.785798,71513.52105545276
MA010120220805376837,커피에반하다,서울특별시 마포구 만리재로 15,,마포구,집합,공덕동,기타,1055.093395557645,319.164315916766,177.984272,56806.22841682361
MA0101202307A0051907,컴포즈커피,서울특별시 마포구 만리재로 15,공덕역점,마포구,집합,공덕동,기타,1055.093395557645,319.164315916766,226.84399600000003,72400.5088031656
MA010120220809331537,쥬씨,서울특별시 마포구 만리재로 15,공덕점,마포구,집합,공덕동,기타,1055.093395557645,319.164315916766,139.60393399999998,44556.59409439934
MA010120220806528090,빌리지,서울특별시 용산구 한남대로42길 23,,용산구,소규모,한남동,기타,53.61375788421851,16.218088778576593,115.107956,1866.831049528488
MA0106202201A1608036,MAAT커피브루어스,서울특별시 성동구 광나루로4길 9,,성동구,소규모,성수동2가,기타,121.07657490635772,36.62549909442729,131.33943399999998,4810.372321029592
MA0101202311A0063989,퓨쳐마인드,서울특별시 서초구 동광로49길 88,,서초구,소규모,반포동,기타,122.92685575965652,37.18520653386669,131.33943399999998,4883.883979331153
MA010120220814335806,좋은피플,서울특별시 동대문구 전농로4가길 8,,동대문구,소규모,답십리동,기타,21.845694578920025,6.60829287280538,148.794058,983.2747129971904
