상가업소번호,상호명,TRDAR_CD,est_총_유동인구_수,est_시간대_00_06_유동인구_수,est_시간대_06_11_유동인구_수,est_시간대_11_14_유동인구_수,est_시간대_14_17_유동인구_수,est_시간대_17_21_유동인구_수,est_시간대_21_24_유동인구_수
MA010120220800672495,가비수구.거니는집,3130284,70102.0,17245.0,13100.0,7883.0,8551.0,13485.0,9836.0
MA0101202406A0465702,카페인중독잠실,3120233,46742.7,10681.6,9556.6,6341.4,6219.5,8327.6,5616.0
MA0106202410A0428092,제이든커피로스터스JDCR,3111080,28573.4,7028.3,5777.1,3362.9,3344.0,5269.7,3791.4
MA010120220803375113,커피가게동경연희점,3130174,37170.0,6861.0,7352.0,5516.0,5577.0,7417.0,4444.0
MA010120220813491137,컴포즈커피강남,3130302,50805.0,7467.0,8862.0,8687.0,8987.0,11223.0,5577.0
MA0101202310A0083403,컴포즈커피은평서북,3110450,166288.8,49554.5,35712.5,17032.5,17203.2,24427.1,22358.8
MA010120220814115583,더치앤빈흑리단길점,3110842,20719.5,3588.4,4122.4,2942.6,3258.0,4451.9,2356.2
MA010120220807123745,세운나다방,3130033,5309.5,493.8,1186.8,1094.8,1120.6,1014.6,398.8
MA010120220813241715,브라운컬렉션,3130033,5309.5,493.8,1186.8,1094.8,1120.6,1014.6,398.8
MA0101202303A0114093,서울바나나커피,3130033,5309.5,493.8,1186.8,1094.8,1120.6,1014.6,398.8
MA010120220803699812,챔프커피,3130033,5309.5,493.8,1186.8,1094.8,1120.6,1014.6,398.8
MA0101202307A0001081,이프프커피,3130033,5309.5,493.8,1186.8,1094.8,1120.6,1014.6,398.8
MA0101202305A0155336,헤일리스커피,3130033,5309.5,493.8,1186.8,1094.8,1120.6,1014.6,398.8
MA0101202406A0288695,리오네커피,3130033,5309.5,493.8,1186.8,1094.8,1120.6,1014.6,398.8
MA010120220807113501,해피클럽,3130033,5309.5,493.8,1186.8,1094.8,1120.6,1014.6,398.8
MA0101202409A0004940,톤즈,3130033,5309.5,493.8,1186.8,1094.8,1120.6,1014.6,398.8
MA010120220806525068,빈티지라이언,3130033,5309.5,493.8,1186.8,1094.8,1120.6,1014.6,398.8
MA010120220810045634,호랑이,3130033,5309.5,493.8,1186.8,1094.8,1120.6,1014.6,398.8
MA0101202209A0021984,아르팡,3130057,15682.0,3809.0,3346.0,1915.0,1907.0,2717.0,1990.0
MA0106202303A1044347,멀티커피,3130069,45340.5,10759.6,8756.0,5519.6,5446.3,8404.9,6454.1
MA010120220805143379,티아트커피로스터스,3130069,45340.5,10759.6,8756.0,5519.6,5446.3,8404.9,6454.1
MA010120220802972784,카페쏙,3110323,142664.6,40156.4,28825.4,15770.3,15501.4,23137.8,19273.3
MA010120220804964341,단조,3130106,88668.2,21514.3,17000.3,10391.0,11116.1,16430.5,12216.2
MA010120220812595260,이디야커피,3110393,12241.0,2351.7,2177.7,1667.0,1824.7,2638.3,1581.7
MA010120220807929010,카페숲,3130088,29167.5,4369.0,6420.0,5489.5,5421.5,4840.0,2627.5
MA0106202406A2465633,스타벅스,3130088,29167.5,4369.0,6420.0,5489.5,5421.5,4840.0,2627.5
MA010120220800600549,이디아,3120094,55064.1,9586.2,9339.7,7939.9,8473.8,12623.3,7101.2
MA0101202409A0021931,에나꼬레,3130173,74191.0,17054.0,16565.0,8743.0,9522.0,12867.0,9440.0
MA010120220810199262,태무든TAEMOODEN,3110525,49795.6,9554.1,9830.7,6703.9,7265.1,10351.1,6090.4
MA0101202311A0083488,두번째디저트,3110852,82741.6,23393.0,16781.6,9713.6,9279.6,13195.5,10378.0
MA0106202406A2465517,스타벅스,3130175,16809.2,2710.0,3228.8,2466.2,2638.0,3721.0,2045.2
MA010120220803658119,이디야사가정점,3120068,20230.9,3607.8,3860.6,2723.4,2874.6,4392.0,2772.5
MA010120220810433268,로스토,3110037,191294.8,52006.0,40779.0,22700.2,22316.0,29489.8,24003.6
MA0101202311A0016316,청림무역,3110037,191294.8,52006.0,40779.0,22700.2,22316.0,29489.8,24003.6
MA010120220812360152,9카페,3120066,35095.3,7087.1,7470.9,5134.4,5082.7,6305.8,4014.5
MA010120220803705421,쥬씨삼호가든,3120170,107294.2,22924.5,18706.9,13714.1,17085.2,22631.3,12232.1
MA0101202305A0094771,몹시,3120002,22612.0,2957.4,4102.6,4082.6,4360.0,4787.2,2322.1
MA010120220800795375,마룬여유,3110517,115607.0,21364.0,24439.3,17194.7,16617.3,22030.3,13961.0
MA0101202212A0069021,탐앤탐스홍제역점,3130176,10137.0,1284.0,1909.0,1626.0,1789.5,2394.5,1134.0
MA010120220810013229,홍제동냇길,3130176,10137.0,1284.0,1909.0,1626.0,1789.5,2394.5,1134.0
MA010120220804670501,아케디뜨,3130060,34194.9,7736.8,6559.2,4152.4,4619.3,6727.6,4399.5
MA0101202210A0069909,잇푸쿠,3110553,154893.3,46868.3,31911.0,15934.8,15507.7,23307.3,21364.2
MA0101202411A0148010,메가엠지씨커피북한산,3110408,35318.6,6651.1,6649.1,4822.4,5357.4,7656.1,4182.3
MA010120220811453534,까페캠퍼,3111004,106039.8,30096.0,21598.4,11258.2,11228.3,17297.0,14562.1
MA010120220806570363,설빙,3120151,33198.4,7579.9,6935.0,4889.6,4798.6,5362.1,3633.2
MA0101202308A0030688,매머드익스프레스보라매대교점,3120151,33198.4,7579.9,6935.0,4889.6,4798.6,5362.1,3633.2
MA0101202303A0088204,커피앤김밥,3120151,33198.4,7579.9,6935.0,4889.6,4798.6,5362.1,3633.2
MA0101202212A0063472,원두볶는사람들,3111050,52257.5,13322.2,10947.5,6744.2,6432.0,8418.7,6392.8
MA0101202406A0348730,이디야커피창동학원가점,3110409,41408.5,9144.1,7965.0,5202.7,5724.1,8308.7,5063.9
MA0106202406A2465527,스타벅스,3110313,80365.7,14152.7,14395.8,12407.3,12484.1,16692.7,10232.9
MA010120220800594420,앨리스,3130178,7910.0,1327.0,1646.5,1441.0,1410.5,1334.0,751.0
MA010120220814090613,아키비스트,3110015,14872.2,1726.5,2886.0,2974.5,3212.0,2703.8,1369.8
MA010120220812595540,멜로드,3130268,34115.2,8133.2,6664.7,3995.5,4379.5,6621.2,4321.3
MA0101202307A0029658,요거요거요거트,3110671,58847.9,16895.4,12630.8,6832.8,6459.4,8640.0,7389.3
MA010120220807372753,바스크,3110306,49874.2,11132.2,9233.8,5979.0,7155.2,10314.2,6059.8
MA010120220804283432,커피인페르노,3111042,234871.0,64739.1,46983.9,25175.8,25738.1,39371.6,32862.8
MA010120220811802533,커피볶는김여사,3110525,49795.6,9554.1,9830.7,6703.9,7265.1,10351.1,6090.4
MA010120220813194426,구루구루,3110842,20719.5,3588.4,4122.4,2942.6,3258.0,4451.9,2356.2
MA0101202308A0087121,미쉐,3130190,22691.1,3522.1,2756.1,3090.4,4190.0,6113.4,3018.9
MA010120220814138033,디자인정인플러스,3110283,34187.0,8866.6,6999.2,4357.0,4037.4,5414.8,4512.2
MA0101202306A0098791,봉명동내커피,3110438,89898.6,23658.1,17860.0,9983.4,10354.3,15861.0,12181.8
MA0101202310A0014635,이디야팀이공사점,3130046,34842.0,8397.5,6923.5,4972.5,4533.0,5250.5,4765.0
MA010120220804369500,메가엠지씨커피창동역점,3130153,24923.0,2451.8,4630.8,4535.9,5224.6,5838.4,2241.8
MA010120220813450022,공활,3110630,121003.1,35651.7,25762.7,14028.5,13043.3,17401.5,15115.5
MA010120220800992852,어깨동무,3110753,104988.8,32132.1,20438.0,10179.6,10182.0,16972.0,15085.2
MA010120220812381987,커피온리,3120173,50485.5,6601.2,10596.1,9231.7,9063.8,10308.6,4684.2
MA0101202406A0006355,메가엠지씨커피남부터미널역점,3120175,30446.0,5678.5,6714.1,4974.7,4962.2,5122.0,2994.5
MA010120220803746048,카페다인,3130067,92508.6,25799.1,18936.4,10572.5,10200.4,14916.6,12083.6
MA010120220805528341,남산#52LAB,3120027,23439.1,2402.5,4878.1,5002.3,4953.1,4478.9,1724.2
MA010120220812223813,베비아모,3110433,66566.9,20417.7,13754.3,6486.2,6134.5,10125.2,9649.0
MA010120220813622947,오루베,3110110,266052.0,72483.0,54917.8,29666.0,30050.2,44771.0,34164.0
MA010120220812249653,프리커피,3110900,194779.1,58565.1,39970.4,18539.6,18371.2,30827.1,28505.6
MA0101202210A0089507,노브.,3110405,160865.3,38588.7,31579.3,18782.9,19821.0,30027.1,22066.4
MA010120220810325777,히든아일렛,3120022,46753.9,2034.1,9129.5,11557.6,11851.4,9860.1,2321.0
MA010120220812816297,피카워크샵,3110129,10192.0,2620.5,2149.1,1413.5,1415.9,1492.5,1100.6
MA010120220812692268,셀렉토커피방학역점,3110410,65210.1,11956.3,12787.3,9314.9,10122.6,13255.6,7773.6
MA010120220814131733,미러볼커피스탠드,3120010,68841.3,12225.1,16043.3,12818.6,12183.0,9982.7,5588.5
MA010120220808471611,단미제과,3110359,255037.4,76409.2,50688.2,25428.6,25375.2,40498.2,36637.8
MA010120220806750334,파크사이드,3110576,36464.6,5346.8,6876.0,5433.7,5947.7,8375.7,4484.7
MA010120220807072648,코지,3120229,98531.3,18495.1,17007.1,13252.3,14047.1,21970.5,13759.3
MA010120220805629360,데이데이,3120072,28257.1,5222.1,5176.7,3786.7,4169.7,6254.4,3647.4
MA010120220803903262,라운드테이블,3110300,129755.1,30996.3,26602.9,16587.3,16373.3,23087.9,16107.5
MA010120220812684551,리예몬,3130100,82151.3,18518.7,16378.0,10293.7,11193.3,15751.0,10016.3
MA0101202406A0003591,미학당,3110838,33333.5,9803.0,5889.2,3735.2,3987.0,5729.2,4190.0
MA0101202406A0354707,커피베이베이크앤비스트로서순라길점,3110019,39422.3,4169.9,7650.2,8026.4,8688.8,7835.8,3051.0
MA0101202306A0081109,컴포즈커피숭실대점,3130269,44533.0,11861.0,7689.0,5480.0,6006.0,8271.0,5224.0
MA010120220812045492,집생로커피,3110166,136039.3,38570.2,28519.4,15270.1,14735.1,20820.7,18124.0
MA010120220805502965,에그허그,3110179,67395.8,19643.5,14834.5,8459.7,7541.2,9006.8,7910.3
MA010120220804498801,뷰파트너스주,3120187,41207.8,6169.9,7816.2,6679.9,7086.3,8979.3,4476.2
MA0101202212A0097331,현욱기획,3130308,10440.5,2024.5,2550.5,1734.5,1640.5,1483.0,1006.5
MA0106202201A0722612,커피를만드는사람들,3130308,10440.5,2024.5,2550.5,1734.5,1640.5,1483.0,1006.5
MA010120220803865372,카페오,3130081,372106.5,97221.5,74973.0,42532.0,44877.5,63778.5,48723.5
MA0101202409A0141583,퐁치커피익스프레스,3110434,60359.5,17617.8,12525.2,6332.1,6358.0,9590.1,7936.4
MA0106202406A2464980,스타벅스,3120192,35592.3,6511.4,7769.5,5950.9,5753.9,6057.9,3548.7
MA010120220812515182,하우스브란트,3110908,5809.1,145.2,1293.8,1260.5,1450.4,1324.6,334.6
MA010120220806653613,카페301,3110908,5809.1,145.2,1293.8,1260.5,1450.4,1324.6,334.6
MA010120220803675047,퀼트카페인,3110908,5809.1,145.2,1293.8,1260.5,1450.4,1324.6,334.6
MA0101202406A0075604,컴포즈양천신곡점,3130205,12357.0,2708.0,2415.0,1482.3,1608.7,2422.0,1722.0
MA0101202311A0105550,스타트카페,3130024,56368.3,2897.9,11430.8,15243.5,14844.5,9667.6,2284.1
MA010120220800117732,커피집,3130024,56368.3,2897.9,11430.8,15243.5,14844.5,9667.6,2284.1
MA010120220814124659,나를위한하루날위한커피,3110851,276284.2,86859.2,57102.0,26218.5,25371.2,40984.5,39748.8
MA010120220806848914,카페크레프리,3110383,5371.5,667.6,1101.3,988.0,986.0,1098.6,529.9
MA010120220806476231,커피프릭COFFEEFREAK,3130198,91182.8,18923.5,19728.0,13064.0,13049.0,16268.0,10150.2
MA010120220802780322,골목카페,3120009,50480.5,4901.1,9112.3,10057.6,10692.0,11310.7,4406.8
MA010120220806496281,구움블루스,3120113,73040.2,13240.6,13896.0,10700.9,11164.1,15294.0,8744.5
MA0101202302A0078446,메가엠지씨커피방배카페,3120162,35022.3,8194.6,6862.1,4499.8,4773.9,6455.2,4236.8
MA0101202310A0029065,네스트앤드위스탠연남마포지점,3110564,33532.7,3586.3,4644.3,5409.6,6831.7,9281.6,3779.3
MA0101202301A0001083,카페청량,3130095,113103.2,15559.2,22431.4,20338.0,20992.2,22541.0,11241.2
MA0101202406A0524166,문보드레,3110608,154916.6,49152.1,32334.3,15593.4,14875.9,22078.1,20882.7
MA010120220802054670,커피도가헤리티지,3130179,28603.6,6961.5,6072.2,3893.2,3728.1,4723.5,3225.2
MA0101202309A0037814,꾸에바마테라,3130060,34194.9,7736.8,6559.2,4152.4,4619.3,6727.6,4399.5
MA010120220800854284,매머드익스프레스,3120148,4533.0,400.5,1062.3,1000.4,1002.8,794.5,272.5
MA010120220807773162,더로비,3110393,12241.0,2351.7,2177.7,1667.0,1824.7,2638.3,1581.7
MA0101202301A0080507,바바아시,3110177,28594.0,9028.5,5983.8,2786.2,2721.2,4249.8,3825.0
MA0101202406A0459675,수유상점101,3130138,12279.5,2089.5,2469.0,1929.0,2006.0,2417.5,1368.0
MA0101202306A0054244,커피마마퀸,3130138,12279.5,2089.5,2469.0,1929.0,2006.0,2417.5,1368.0
MA0101202210A0034673,업사이드커피을지로,3120033,39344.5,3541.3,8760.8,8317.2,8380.8,7500.0,2844.5
MA010120220804108887,그랑카페,3111055,32095.0,8652.0,6641.0,3581.0,3640.0,5210.0,4373.0
MA0101202305A0146430,이디야커피망우역점,3110265,66424.7,14141.2,12957.8,8471.2,9449.5,13029.8,8375.5
MA010120220814019498,트래버틴용산,3110062,25013.3,4183.3,4945.7,3987.4,4161.6,5130.9,2604.5
MA010120220807721966,디저트39,3120109,29754.9,6869.9,6136.9,4059.6,3936.8,5181.7,3570.0
MA010120220811871907,사랑방,3130250,28267.0,5975.0,5211.0,3927.0,4218.5,5422.5,3512.5
MA010120220808832530,로타리휴계실,3130250,28267.0,5975.0,5211.0,3927.0,4218.5,5422.5,3512.5
MA0101202308A0016993,삼이일공커피공장,3110938,31678.9,4986.8,7010.8,5528.8,5701.3,5568.9,2882.8
MA010120220810577365,토마토,3110577,83537.7,18373.8,15455.0,10253.8,11830.8,17450.8,10173.2
MA0101202406A0046626,수빈70,3110177,28594.0,9028.5,5983.8,2786.2,2721.2,4249.8,3825.0
MA010120220803980265,커피오리진,3110364,613921.0,170166.7,129123.0,69370.3,69140.3,97717.0,78403.3
MA010120220803674019,메가엠지씨커피강동역점,3111068,91059.0,21264.0,20674.5,12360.5,11315.5,14312.0,11132.5
MA010120220806880475,카페502호,3130107,38554.0,9644.0,7154.0,4195.0,4649.0,7260.0,5654.0
MA010120220803878389,이앤에스에스,3110559,31235.6,7205.6,5987.5,4175.7,4285.1,5692.6,3889.3
MA010120220805703628,건강한농부사회적협동조합,3110734,35656.0,7993.0,7063.0,4492.0,4793.0,6790.0,4526.0
MA010120220813342186,크레마노,3130060,34194.9,7736.8,6559.2,4152.4,4619.3,6727.6,4399.5
MA0101202406A0061679,카페인중독,3111026,69024.5,18592.7,14512.2,8782.8,8066.3,10656.4,8413.7
MA010120220813711418,카페보보,3110424,228092.9,63845.8,47566.5,25832.6,25584.2,35827.1,29436.9
MA010120220812329257,금호알베르,3110107,12847.8,2196.2,2536.2,1783.4,1976.0,2799.6,1556.2
MA010120220805446012,알베르금호,3110107,12847.8,2196.2,2536.2,1783.4,1976.0,2799.6,1556.2
MA010120220802964354,다나제과,3130178,7910.0,1327.0,1646.5,1441.0,1410.5,1334.0,751.0
MA010120220806478777,커피베이성수세종,3130071,52705.0,4910.0,10621.0,10437.0,11004.0,11418.0,4315.0
MA010120220800219104,메르센,3130192,11490.0,3208.2,2182.2,1243.2,1304.8,2022.5,1528.8
MA010120220808123411,카페네이,3130192,11490.0,3208.2,2182.2,1243.2,1304.8,2022.5,1528.8
MA010120220800209837,카페리브레,3130192,11490.0,3208.2,2182.2,1243.2,1304.8,2022.5,1528.8
MA0106202201A0153478,커피빈순화점,3120019,23975.1,2869.1,6082.0,4996.4,4825.6,3670.1,1532.1
MA010120220805376837,커피에반하다,3130196,13925.3,1429.3,2993.0,2601.3,2592.0,2990.7,1319.3
MA0101202307A0051907,컴포즈커피,3130196,13925.3,1429.3,2993.0,2601.3,2592.0,2990.7,1319.3
MA010120220809331537,쥬씨,3130196,13925.3,1429.3,2993.0,2601.3,2592.0,2990.7,1319.3
MA010120220806528090,빌리지,3110096,33941.3,4474.6,7227.3,5441.7,6166.9,7394.0,3237.0
MA0106202201A1608036,MAAT커피브루어스,3110132,56240.3,14664.3,11871.9,7643.1,7553.0,8139.4,6368.5
MA0101202311A0063989,퓨쳐마인드,3110924,210003.0,49454.0,45342.0,28722.0,28963.0,33438.5,24083.0
MA010120220814335806,좋은피플,3130101,500872.0,105509.0,99225.0,66421.0,70713.0,98365.0,60641.0
MA0101202311A0057925,컴포즈커피가양초점,3110674,21444.7,3464.3,4790.7,3315.7,3503.7,4024.7,2344.7
MA0101202406A0496575,효녀가수이효정네한방찻집,3110576,36464.6,5346.8,6876.0,5433.7,5947.7,8375.7,4484.7
