상가업소번호,상호명,지점명,kakao_score,kakao_reviewCount,naver_score,naver_reviewCount
MA010120220806361295,000케이크바,,,,,
MA0101202406A0096622,0122커피바,,5.0,10.0,,32
MA0101202409A0196345,0125커피바,,5.0,12.0,,14
MA0101202306A0062257,025베이커리,,4.2,103.0,,82
MA0101202406A0132263,09커피,,3.6,23.0,,6
MA0101202209A0088428,1%리버티커피,,,,,
MA010120220808588994,1.5도씨,,5.0,14.0,4.4,145
MA010120220811909716,100X커피,,,,4.33,37
MA0101202305A0121922,100디그리,,5.0,2.0,,24
MA010120220808810840,101빌리지,,4.0,1.0,,4
MA010120220812851742,101커피,,3.4,90.0,4.06,3
MA010120220807430734,101커피컨테이너,,,,,0
MA010120220806571240,101커피컨테이너,,1.8,6.0,,0
MA010120220808033294,101커피컨테이너,시청역점,,,,0
MA0101202302A0078339,101커피컨테이너국제전자,센터점,1.8,6.0,,2
MA010120220803605443,101파트너스,,1.8,6.0,,
MA010120220802514515,106길15,,4.4,27.0,4.97,367
MA010120220803494289,10꼬르소꼬모,,2.8,13.0,4.31,575
MA010120220811898951,10꼬르소꼬모카페,,2.8,13.0,4.31,575
MA0101202406A0260526,10스퀘어남산,,5.0,17.0,,
MA010120220806726600,11월,,3.7,3.0,,25
MA010120220814311034,120겹파이,망원점,5.0,1.0,,0
MA0101202406A0459153,1214카페,,5.0,2.0,4.55,0
MA0101202311A0071875,132하우스,,,,,136
MA010120220811224826,139커피,,4.1,45.0,4.63,8
MA0101202305A0012810,13포레스트,,5.0,5.0,,21
MA010120220800364474,14번가,3호점,,,,1
MA0101202406A0501175,15아지트,,5.0,2.0,,1
MA0101202411A0073255,175도씨,,5.0,1.0,,1
MA010120220800219123,17도씨,,,,,721
MA010120220804575555,193씨엠,,,,,
MA010120220804057187,1964외식사업본부,,,,,
MA0101202406A0457074,1달러커피,,,,,12
MA0101202406A0411440,1리터SELL앤디저트와플신림,직영점,,,,
MA010120220806765135,1인1잔,,3.6,153.0,4.33,"2,338"
MA0101202308A0027689,1한가로이,,,,,
MA010120220800991869,207,,4.2,5.0,,101
MA010120220808685566,208도씨,,,,,
MA010120220805205531,208호,,,,,
MA010120220804841267,213점,,,,4.7,238
MA0101202310A0022157,21세기복덕방,,,,,
MA0106202301A0781850,221B,,4.3,6.0,4.58,29
MA0101202406A0288357,22그램,,,,,6
MA010120220812174121,237플랫폼카페,,4.0,4.0,4.42,44
MA010120220804280133,24/7,,5.0,1.0,,6
MA010120220808259326,24CAFE33커피상왕십리역,본점,4.8,4.0,,7
MA0106202201A1322757,24cafe33커피,,,,,7
MA010120220800990370,24시만화카페,,4.4,10.0,,81
MA0101202212A0066743,24시무인까페만월경병무청역점,,4.6,5.0,,9
MA010120220812810666,24시무인셀프카페,,,,,14
MA0106202201A0126938,24시무인셀프카페,,,,,14
MA010120220805490968,24시무인셀프카페,사당점,1.5,2.0,,14
MA010120220805210178,24시무인셀프카페,장안점,5.0,3.0,,14
MA0101202305A0049647,24시무인셀프카페,,,,,14
MA010120220808107364,24시무인셀프카페,,3.0,4.0,,14
MA0106202201A0126936,24시무인셀프카페,,,,,14
MA010120220813494594,24시무인카페RO,,,,5.0,22
MA010120220800091651,24시무인카페만월경,길동점,,,,4
MA0101202311A0103776,24시무인카페만월경,명지대점,,,,4
MA010120220807432232,24시무인카페만월경면,목동점,4.8,5.0,,
MA010120220808627658,24시무인카페만월경상계,중앙점,3.8,6.0,,6
MA010120220813243132,25그램,,,,4.58,12
MA010120220806998404,25브릭스,,,,4.73,81
MA010120220802738352,26;샵,,4.2,5.0,4.67,356
MA0101202303A0098422,26카페,,4.1,11.0,,3
MA010120220812798804,282독,,4.1,12.0,,
MA0101202310A0004893,29커피,,4.0,7.0,,14
MA010120220810543018,2라운드,,4.7,7.0,,179
MA010120220811913523,2카페,,4.1,84.0,4.51,25
MA0101202409A0222008,301에이치,,4.7,7.0,5.0,0
MA010120220812495713,312스튜디오,,,,4.53,"1,006"
MA0106202403A0141067,328커피,,4.8,35.0,4.27,1
MA010120220804995574,33마켓,,,,,12
MA010120220809686489,33아파트먼트,,3.7,65.0,4.42,560
MA010120220812229756,33카페,,4.2,42.0,,34
MA010120220800206048,36.5도씨여름,,4.1,36.0,,
MA0101202306A0097364,3X라지커피,,,,,0
MA010120220814074648,3노트커피,,4.7,24.0,,101
MA010120220814255473,3안,,4.0,1.0,,47
MA0101202309A0001847,3커피,데일리,4.2,124.0,,6
MA0101202305A0055606,4.5평점점,,,,,
MA0101202210A0035614,40데이즈,,5.0,5.0,,78
MA010120220813449262,413프로젝트,,,,4.45,"1,637"
MA0101202302A0009754,421프라하,,5.0,7.0,,35
MA010120220808412772,4560디자인하우스,,,,,
MA0101202305A0200559,46도무인카페,독산점,,,,1
MA010120220812946573,47번가찻집,,2.8,16.0,4.21,49
MA010120220807292941,4레스트,,,,4.88,119
MA010120220810223877,4콤마2,,,,,
MA0101202406A0556013,501스튜디오,,,,,128
MA010120220800989587,502커피,가산점,3.9,214.0,4.52,3
MA010120220810563222,502커피로스터스,,,,,
MA010120220812512372,550커피,,3.7,21.0,4.08,48
MA010120220812650265,55커피,,,,4.45,298
MA010120220806943074,5빠,,,,4.25,1
MA0101202306A0049850,5센소,역삼점,5.0,4.0,,162
MA010120220803777177,5스타커피,,5.0,2.0,,17
MA010120220805312795,653.1카페,,4.3,4.0,,7
MA010120220805079906,67소호,,,,,
MA0101202406A0395488,704호,,4.8,39.0,4.72,185
MA010120220811715091,777.7스페이스,,4.4,5.0,4.4,40
MA0101202406A0477260,7773커피,,3.8,23.0,,9
MA0101202305A0105213,79파운야드,보라매역점,4.0,5.0,,378
MA010120220806660520,79파운야드,합정점,4.6,13.0,,378
MA010120220804402570,83도씨,,5.0,4.0,4.79,12
MA010120220800777134,83번가,,,,,
MA010120220806575480,88파운드,,,,,
MA010120220803613894,8번지,,3.0,36.0,4.52,432
MA010120220806866967,8월의오븐,,,,,6
MA0101202406A0337792,8월의지휘자,,4.1,7.0,,22
MA010120220800030923,92도,,3.7,9.0,4.4,11
MA0101202409A0235297,964커피앤브레드,,5.0,7.0,,
MA010120220808441287,99밀크티,,4.6,12.0,,15
MA010120220800284229,9라운드,,,,,0
MA0101202211A0036621,9램,,4.2,17.0,,211
MA010120220812360152,9카페,,3.3,44.0,4.41,13
MA0101202406A0013488,9카페,,2.9,132.0,4.41,13
MA0101202410A0267636,AAA+가나다방문요양센터,,,,,
MA010120220810174526,BK샵,,,,4.47,"1,598"
MA010120220800330859,C.F커피,전문점,,,,0
MA010120220800948143,CAFE가끔,,,,,24
MA010120220801234963,CAFE라임,,4.2,13.0,4.39,117
MA010120220803510075,CAFE오가다목동파라곤,,,,4.75,20
MA010120220800020280,CAFE하비비,,,,4.28,56
MA0106202201A0026231,CGV대학로투썸커피,,3.0,41.0,,2
MA0106202201A0026023,CGV투썸건대입구,,2.8,40.0,4.38,1
MA0106202201A0026215,CGV하계투썸커피,,3.5,16.0,,
MA0106202201A0026145,CJCGV명동역씨네라이브러리,,3.6,55.0,,
MA0106202201A0026070,CJCGV천호투썸플러스,,2.7,42.0,,
MA010120220803454013,COIN,,4.2,153.0,3.56,0
MA010120220800029549,Cafe-D55,,,,4.45,298
MA010120220804197449,CafeCeccoBeppe,,,,,
MA010120220803739215,Cafelashower,,,,5.0,1
MA010120220800989334,Coffee린,,,,4.23,2
MA010120220809233764,Coffe소,,,,,
MA010120220808211732,DCAFE,동대문점,,,4.54,"2,564"
MA010120220803497179,E&B인터내셔널,,,,,
MA010120220803736227,GAMME,,,,4.72,74
MA010120220804114862,HERE카페,,,,5.0,5
MA010120220812917588,J&J로스팅샵,,4.6,5.0,4.68,5
MA0106202201A1608036,MAAT커피브루어스,,4.7,21.0,4.76,121
MA010120220803540686,OMG도넛앤커피,,,,,
MA010120220804113770,Ondo,,,,,398
MA0106202201A2354016,PLOP,,,,4.6,"2,415"
MA010120220800797068,Q커피향큐,,3.9,16.0,,
MA010120220808542288,RUNCIBLECAFE,,,,,7
MA010120220812570672,R카페,,5.0,1.0,,10
MA010120220805357787,SGH한방차보감,,,,,
MA010120220805899310,Sit,,5.0,28.0,4.96,49
MA010120220800281167,T.hill14st,,,,,
MA0106202212A2426621,T1Cafe&Arena,,,,,193
MA010120220812305937,THE봄,,,,4.77,4
MA010120220800029475,Teastory,,,,4.75,85
MA010120220800014726,TheMonoCo.,,,,,
MA010120220803908509,The달다,,,,4.62,51
MA010120220808012343,WETCO.;LTD.,,,,,
MA010120220803750599,Webconey,,,,,
MA010120220809529289,greenmug그린머그,,3.6,9.0,,34
MA0106202407A0146709,h스커피,,4.6,21.0,,
MA010120220811908830,me;人심리상담카페,,5.0,1.0,,
MA010120220800252138,　글린트,,,,,45
MA010120220807713721,가고싶은카페오름,,5.0,2.0,4.91,53
MA010120220800513070,가까운카페,,,,,57
MA010120220811973551,가든스튜디오,,5.0,1.0,3.75,15
MA010120220810107857,가든아트로뎀,,,,,
MA010120220805196116,가락시장역점빽다방,,4.0,4.0,4.38,36
MA0101202305A0107329,가락커피,,3.0,1.0,4.4,84
MA010120220808667946,가루앤가루,,5.0,2.0,,13
MA010120220813430602,가름커피,,3.7,9.0,4.56,11
MA0106202411A1826641,가마,,5.0,2.0,,7
MA010120220800457743,가먼츠커피,,,,,
MA0101202302A0033510,가며오며,,5.0,3.0,,73
MA010120220810233276,가배5225,,4.2,13.0,4.6,70
MA010120220810190917,가배공방,,,,4.31,11
MA010120220803689944,가배도,,3.4,172.0,,1
MA010120220808662727,가배도삼청,,,,,
MA010120220800211703,가배두림,,2.6,7.0,4.05,50
MA010120220813840104,가배랑솜인사동카페,,3.0,20.0,,843
MA010120220801031739,가배미혼,,4.9,31.0,4.34,71
MA0101202411A0146552,가배시그니처,,,,,
MA010120220806397810,가배유정,,4.9,111.0,4.64,201
MA010120220808461250,가배장이,잠실점,3.4,9.0,,0
MA010120220803656104,가비,,,,,76
MA0101202406A0445887,가비,,5.0,3.0,,76
MA010120220800362437,가비1896,,5.0,2.0,4.23,1
MA010120220800527284,가비공방,,,,,1
MA010120220813423844,가비당,,5.0,8.0,,271
MA010120220803327316,가비당,,1.0,1.0,,271
MA010120220814240883,가비루,,,,,
MA010120220800672495,가비수구.거니는집,,5.0,1.0,,
MA010120220813982996,가비아노,,4.5,61.0,4.4,181
MA010120220813303765,가비애,,4.1,76.0,,1
MA0101202406A0142706,가비엔누리,용산점,,,,0
MA0101202210A0026721,가비엔누리,압구정점,,,,0
MA010120220813666785,가비엔누리코람코점,,,,,0
MA010120220803708451,가비커피로스터스,,5.0,4.0,4.4,13
MA0101202411A0013541,가빈,,5.0,2.0,,87
MA010120220805217012,가산로3,,,,,
MA010120220803369851,가산씨앤비,,,,,
MA010120220804719912,가산커피벽산점,,5.0,1.0,,
MA0101202302A0032697,가상의점cafe,,,,,5
MA010120220800003226,가야스넥코너,,,,,
MA0101202306A0009457,가온누리델루가,,,,,
MA0101202209A0086486,가온카페,,4.6,7.0,,8
MA010120220802781718,가원thecafe,,5.0,1.0,,17
MA010120220805039179,가유카페,강남점,,,4.4,19
MA010120220800066391,가은,,,,,
MA0101202409A0153015,가이아카페,,5.0,1.0,,3
MA010120220813810443,가제,,4.5,13.0,4.6,125
MA010120220800007320,가케하시,,3.2,5.0,,
MA010120220805464121,가타커피,,4.3,12.0,,47
MA0101202409A0057899,가토프레소,,4.2,5.0,,1
MA010120220806239251,가토프레소,,4.2,5.0,,1
MA010120220800552418,가화,,,,4.19,68
MA010120220803507375,가화다방,,,,4.1,0
MA010120220800034470,가회한경헌,,4.2,11.0,4.31,44
MA0101202406A0580149,각각,,,,,11
MA010120220803024500,각자의연유,,5.0,11.0,,56
MA010120220806305127,각자의취향,,4.5,23.0,4.65,31
MA010120220805496752,간삼기획,,,,,
MA0101202406A0319338,간식창고,,5.0,6.0,,2
MA010120220811193884,갈마루북까페,,,,4.0,2
MA010120220800459484,갈십리,,,,,906
MA0101202305A0122431,갈팡즙팡,성동점,,,,5
MA010120220813538425,갈팡즙팡,,5.0,1.0,,5
MA010120220804954810,감각,,3.3,49.0,4.5,822
MA010120220805832837,감꽃당,,2.9,65.0,4.28,667
MA010120220812252571,감나무집까페,,5.0,10.0,,6
MA010120220803714484,감동식혜,,,,,3
MA010120220803904476,감성달빛,,4.0,1.0,,14
MA010120220810200494,감성마켓,,,,,1
MA0101202311A0012592,감성커피,중계점,3.8,5.0,,37
MA010120220811723475,감성커피,,3.5,8.0,,37
MA0101202406A0300384,감성커피,신림점,4.4,11.0,,37
MA010120220813301014,감성커피,,,,,37
MA010120220810204537,감성커피,신논현점,1.6,7.0,,37
MA010120220806512948,감성커피,,,,,37
MA0101202406A0020686,감성커피,남성역점,3.5,2.0,,37
MA0101202305A0177304,감성커피,상봉점,,,,37
MA010120220814272176,감성커피J,,4.4,12.0,4.43,72
MA0101202409A0118473,감성커피길동,사거리점,4.8,4.0,,18
MA0101202409A0016790,감성커피등촌,중앙점,5.0,5.0,,6
MA0101202406A0192840,감성커피마곡역점,,,,,32
MA0101202406A0227373,감성커피마포성산점,,3.0,6.0,4.62,11
MA010120220812164674,감성커피문정테라,타워점,5.0,2.0,,6
MA010120220803363438,감성커피방화역점,,5.0,2.0,,
MA0101202406A0194917,감성커피서,여의도점,,,,
MA010120220809681242,감성커피암사역점,,4.0,5.0,4.32,24
MA0101202406A0075716,감성커피이수역점,,,,,16
MA010120220805994845,감성커피장안동,사거리점,5.0,2.0,,
MA010120220812430721,감성커피테라스,,2.9,15.0,4.31,51
MA0101202309A0056116,감솔카페앤보틀,,4.0,4.0,,3
MA010120220812233842,감연,,,,4.5,2
MA0101202307A0089191,감탄커피,,4.1,7.0,4.42,25
MA010120220812601345,감탄커피,,,,4.42,25
MA010120220810404702,감탄후식단,,,,,
MA010120220807885542,갑자기,,5.0,3.0,4.77,9
MA010120220800441099,갓프레소,,4.7,3.0,4.67,0
MA010120220806612106,강남북카페내일의북카페,,,,,
MA010120220805935395,강남주막다방,,5.0,3.0,,260
MA010120220804294329,강남지역자활센터SR카페테리아,,,,,
MA0101202305A0060573,강남지역자활센터청년카페,,,,,
MA010120220813009584,강남커피,,,,,"3,060"
MA010120220804464756,강남커피,,3.1,18.0,,"3,060"
MA010120220805113195,강남타이야키코히,,,,,77
MA010120220804466200,강다짐원유로스페셜티강남역지하,상가점,,,,
MA010120220804552474,강동사회적기업협의회,,,,,
MA0101202305A0196087,강동시니어상담카페,7호점,,,,1
MA0101202411A0173465,강동어울림복지관,,,,,
MA010120220803915934,강동커피，호프,,,,,0
MA0101202303A0100179,강또커피,,5.0,1.0,,2
MA0101202406A0171157,강또커피,수유점,5.0,1.0,,2
MA0101202409A0176013,강또커피,성신여대점,5.0,1.0,,2
MA0101202411A0022957,강산로스터스,,5.0,4.0,,30
MA0101202406A0149247,강서커피,,,,,"2,441"
MA010120220809365555,강스카페,,,,4.8,197
MA010120220810174917,강아지똥,,,,,
MA0101202307A0064584,강월국제,,,,,
MA010120220803344655,같이;가치,,3.8,5.0,,10
MA010120220805359788,개러지로스터,,,,,69
MA0101202411A0139856,개방,,4.8,13.0,,33
MA0101202409A0138451,개봉,,4.8,5.0,,366
MA010120220800386757,개봉15길커피,,5.0,2.0,,7
MA010120220804601394,개비스커피,,4.0,39.0,,228
MA010120220806404392,개스타운커피,,5.0,1.0,,
MA010120220803115013,개인공간,,4.2,55.0,,6
MA0101202301A0007821,개화가배,,4.7,33.0,,103
MA010120220800356802,갤러리,,4.3,6.0,4.4,885
MA010120220802961741,갤러리K,,,,,0
MA010120220811929675,갤러리더스퀘어,,4.3,24.0,,139
MA010120220802960235,갤러리더스퀘어,용산점,2.1,11.0,,139
MA010120220812149496,갤러리로아,,5.0,2.0,,50
MA010120220810229010,갤러리엠에치케이,,,,,
MA0101202306A0085032,갤러리카페,,5.0,5.0,4.46,54
MA010120220800022072,갤러리카페모짜르트,,4.1,14.0,4.57,76
MA010120220811882293,갤러리카페바이아스,,4.5,11.0,4.73,122
MA010120220804281955,갤러리카페커피집,,5.0,2.0,4.57,76
MA010120220800039010,갤러리콘서트카페'시가연',,,,,
MA0101202309A0040935,갤러리통,,,,4.5,11
MA0101202212A0057555,갱스카페,,5.0,15.0,,17
MA010120220807772518,갱커피,,5.0,1.0,4.7,69
MA010120220810435359,갸또마마,,4.4,14.0,4.51,119
MA0106202201A2031912,거기로와전기구이통닭앤커피,,,,,2
MA0101202411A0115047,거기커피,,4.6,8.0,,2
MA010120220814379708,거리에서,,,,4.52,0
MA010120220808112293,거마도,,,,,
MA010120220809680930,거북이,,4.2,12.0,4.61,869
MA010120220808632438,거상앤리치,,,,,
MA010120220803745077,거울한옥미러룸,,3.2,33.0,4.41,483
MA010120220804246219,거장SR,,,,,0
MA0101202305A0153682,거처,,3.4,29.0,,285
MA010120220805703628,건강한농부사회적협동조합,,,,,
MA0101202409A0106402,건강한카페,,,,4.57,262
MA0101202303A0042452,건강한행복카페,,3.0,2.0,,0
MA010120220803775919,건대역카페시벳,,,,,
MA010120220805465349,건배,,,,,0
MA0101202406A0449067,건영커피,,,,,4
MA0106202201A1407627,건우3456,,,,,
MA0101202409A0040205,건축다방,,4.2,5.0,,10
MA010120220809677449,검프,,,,,295
MA010120220813577574,게슈탈트커피,,3.1,20.0,4.42,540
MA010120220805397838,게이트커피,,4.0,6.0,4.33,25
MA010120220813307944,게임체인저컴퍼니,,,,,
MA0101202409A0234493,게헨,,,,,51
MA010120220805454758,겟블랙,,,,,43
MA0101202305A0102813,겟어웨이,,5.0,3.0,,7
MA0101202409A0038427,겟어커피,,5.0,1.0,,0
MA010120220811983103,겟잇커피,,4.9,11.0,4.54,21
MA0106202405A2378868,겟틴,,,,,
MA0101202411A0039304,겨울빙수,,,,,2
MA010120220806442957,경동흥업,,4.8,10.0,,0
MA010120220800624758,경림코퍼레이션주,,,,,
MA010120220800189795,경보커파우스/주차장,,4.9,8.0,,
MA0101202211A0022506,경복궁,,4.8,633.0,4.2,904
MA010120220803126504,경성시장,가산점,5.0,5.0,,5
MA010120220800301442,경성커피,소담점,5.0,6.0,,93
MA010120220812796226,경성커피컴퍼니,,4.8,30.0,,
MA010120220808763535,경스커피,2호점,3.8,13.0,4.61,84
MA010120220809802435,경스커피수유,본점,3.8,13.0,4.61,84
MA010120220807941278,경이로운커피,홍대점,,,,4
MA010120220803508668,경향다방,,,,,0
MA0101202406A0237051,곁,,5.0,12.0,,3
MA0101202303A0027371,계단_카페,,5.0,5.0,,34
MA010120220805298900,계동107,,4.2,10.0,,
MA010120220812214717,계동13,,,,,
MA0101202409A0168919,계산산업공차,동국대점,,,,
MA010120220803495898,계화커피숍,,,,3.0,0
MA0101202406A0171290,고개반상,,,,,
MA0101202311A0000347,고끼리2,,,,,5
MA010120220808376573,고나카페,,4.3,9.0,4.95,15
MA010120220808253315,고다방,,3.5,2.0,,0
MA0101202406A0292620,고단새,,5.0,1.0,,0
MA0101202310A0073426,고디바,,3.7,32.0,4.31,431
MA010120220813422184,고디바MBC상암,,3.2,6.0,4.51,46
MA010120220812655827,고또,,4.3,6.0,4.33,11
MA010120220810961515,고라니커피클럽,,,,,741
MA010120220803109557,고래다방,,4.8,5.0,,12
MA010120220812212121,고래상점,,,,,4
MA010120220813252373,고로커피로스터스,,4.2,142.0,4.64,728
MA010120220809966096,고리마루마을활력소,,,,,
MA010120220808241351,고마워사랑해,,,,4.41,17
MA010120220803589920,고마워요.오늘도,,2.8,9.0,4.25,72
MA010120220813747176,고망고,,2.3,16.0,,7
MA0101202305A0110009,고망고,공릉점,4.8,21.0,,7
MA0101202301A0081312,고망고,홍제점,4.8,8.0,,7
MA0101202306A0109774,고망고,상암점,3.9,8.0,,7
MA010120220809269000,고망고,망원점,4.2,20.0,,7
MA0101202409A0049566,고망고,가산디지털점,4.8,10.0,,7
MA0101202210A0095010,고망고DDP,,4.4,19.0,,163
MA0101202409A0237627,고망고NC강서점,,,,,8
MA010120220806731495,고망고건대,1호점,4.7,64.0,4.48,305
MA010120220808725550,고망고건대,중문점,4.9,11.0,4.48,305
MA0101202211A0055080,고망고경희대점,,1.3,12.0,,
MA0101202306A0011088,고망고광장,시장점,3.8,4.0,,
MA0101202303A0014650,고망고대흥역점,,,,,12
MA0101202306A0017886,고망고동양미래대점,,4.2,5.0,,34
MA010120220809085509,고망고망,,,,,
MA0101202406A0465548,고망고숭례문점,,5.0,6.0,,17
MA0101202409A0126086,고망고신촌기차역점,,5.0,1.0,,12
MA0101202309A0006726,고망고여의도KBS본관점,,4.3,9.0,,
MA0101202406A0211449,고망고종로2가점,,,,,24
MA0101202308A0011091,고망고홍대입구역점,,3.9,16.0,,85
MA0101202409A0130486,고몽순커피,,5.0,6.0,,4
MA0101202406A0224734,고미,,,,,39
MA010120220806370072,고미푸딩,,,,,256
MA0101202305A0140786,고미푸딩,,,,,256
MA010120220808172579,고비욘드,,,,,
MA010120220805361807,고소운,,,,4.55,448
MA0101202305A0179476,고스,,,,,35
MA0101202411A0018752,고스트멜로우,,4.6,16.0,,422
MA010120220811982063,고스트요거트,,4.6,17.0,4.81,70
MA010120220813837846,고스트요거트,,4.6,32.0,4.81,70
MA0101202307A0009809,고아웃위드,,5.0,8.0,,10
MA010120220803494488,고양이놀이터,,4.3,60.0,,
MA0101202209A0043564,고양이다락방,,,,,193
MA010120220800512013,고양이똥,,,,,"1,204"
MA010120220812774662,고양이별캣카페,,4.2,29.0,,
