상가업소번호,상호명,지점명,상권_코드,법정동코드,지번,커버건축물면적,커버연면적,기준_년분기_코드,서비스_업종_코드,당월_매출_금액,상권_내_카페_수,등분_매출,상권_총_커버연면적,면적비율,면적_배분_매출,최종_추정매출
MA0101202303A0114093,서울바나나커피,을지로4가점,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20241.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202303A0114093,서울바나나커피,을지로4가점,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20242.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202303A0114093,서울바나나커피,을지로4가점,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20243.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202303A0114093,서울바나나커피,을지로4가점,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20244.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220803699812,챔프커피,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20241.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220803699812,챔프커피,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20242.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220803699812,챔프커피,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20243.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220803699812,챔프커피,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20244.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202307A0001081,이프프커피,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20241.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202307A0001081,이프프커피,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20242.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202307A0001081,이프프커피,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20243.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202307A0001081,이프프커피,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20244.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202305A0155336,헤일리스커피,을지로점,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20241.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202305A0155336,헤일리스커피,을지로점,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20242.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202305A0155336,헤일리스커피,을지로점,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20243.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202305A0155336,헤일리스커피,을지로점,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20244.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202406A0288695,리오네커피,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20241.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202406A0288695,리오네커피,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20242.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202406A0288695,리오네커피,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20243.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202406A0288695,리오네커피,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20244.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220807113501,해피클럽,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20241.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220807113501,해피클럽,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20242.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220807113501,해피클럽,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20243.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220807113501,해피클럽,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20244.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202409A0004940,톤즈,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20241.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202409A0004940,톤즈,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20242.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202409A0004940,톤즈,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20243.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202409A0004940,톤즈,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20244.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220806525068,빈티지라이언,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20241.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220806525068,빈티지라이언,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20242.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220806525068,빈티지라이언,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20243.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220806525068,빈티지라이언,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20244.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220810045634,호랑이,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20241.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220810045634,호랑이,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20242.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220810045634,호랑이,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20243.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220810045634,호랑이,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20244.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA0101202209A0021984,아르팡,,3130057,1117010800,260-1,1286.55,4782.84,,,,1,,4782.84,1.0,,
MA0106202303A1044347,멀티커피,한양대점,3130069,1120010700,19-54,61.11,350.54,20241.0,CS100010,357106156.0,56,3188447.8214285714,32683.72,0.010725217325322821,1915020.5656553172,5103468.387083888
MA0106202303A1044347,멀티커피,한양대점,3130069,1120010700,19-54,61.11,350.54,20242.0,CS100010,417076699.0,56,3723899.098214286,32683.72,0.010725217325322821,2236619.1190516255,5960518.217265911
MA0106202303A1044347,멀티커피,한양대점,3130069,1120010700,19-54,61.11,350.54,20243.0,CS100010,332753549.0,56,2971013.8303571427,32683.72,0.010725217325322821,1784427.064398728,4755440.894755871
MA0106202303A1044347,멀티커피,한양대점,3130069,1120010700,19-54,61.11,350.54,20244.0,CS100010,361188230.0,56,3224894.910714286,32683.72,0.010725217325322821,1936911.131049342,5161806.041763628
MA010120220805143379,티아트커피로스터스,,3130069,1120010700,19-54,61.11,350.54,20241.0,CS100010,357106156.0,56,3188447.8214285714,32683.72,0.010725217325322821,1915020.5656553172,5103468.387083888
MA010120220805143379,티아트커피로스터스,,3130069,1120010700,19-54,61.11,350.54,20242.0,CS100010,417076699.0,56,3723899.098214286,32683.72,0.010725217325322821,2236619.1190516255,5960518.217265911
MA010120220805143379,티아트커피로스터스,,3130069,1120010700,19-54,61.11,350.54,20243.0,CS100010,332753549.0,56,2971013.8303571427,32683.72,0.010725217325322821,1784427.064398728,4755440.894755871
MA010120220805143379,티아트커피로스터스,,3130069,1120010700,19-54,61.11,350.54,20244.0,CS100010,361188230.0,56,3224894.910714286,32683.72,0.010725217325322821,1936911.131049342,5161806.041763628
MA010120220802972784,카페쏙,,3110323,1129013700,64-1,0.0,105.66,20241.0,CS100010,141313311.0,40,1766416.3875,20258.8,0.005215511283985231,368510.58404890716,2134926.971548907
MA010120220802972784,카페쏙,,3110323,1129013700,64-1,0.0,105.66,20242.0,CS100010,210822728.0,40,2635284.1,20258.8,0.005215511283985231,549774.1584022746,3185058.258402275
MA010120220802972784,카페쏙,,3110323,1129013700,64-1,0.0,105.66,20243.0,CS100010,160355328.0,40,2004441.6,20258.8,0.005215511283985231,418167.51131557644,2422609.1113155764
MA010120220802972784,카페쏙,,3110323,1129013700,64-1,0.0,105.66,20244.0,CS100010,197879019.0,40,2473487.7375,20258.8,0.005215511283985231,516020.128229214,2989507.8657292137
MA010120220804964341,단조,,3130106,1126010100,185-1,201.79,1047.31,20241.0,CS100010,388201233.0,40,4852515.4125,27271.2,0.038403517263633426,7454146.376639641,12306661.78913964
MA010120220804964341,단조,,3130106,1126010100,185-1,201.79,1047.31,20242.0,CS100010,425281018.0,40,5316012.725,27271.2,0.038403517263633426,8166143.4583292985,13482156.1833293
MA010120220804964341,단조,,3130106,1126010100,185-1,201.79,1047.31,20243.0,CS100010,436245088.0,40,5453063.6,27271.2,0.038403517263633426,8376672.884091642,13829736.484091641
MA010120220804964341,단조,,3130106,1126010100,185-1,201.79,1047.31,20244.0,CS100010,419195178.0,40,5239939.725,27271.2,0.038403517263633426,8049284.627577444,13289224.352577444
MA010120220812595260,이디야커피,,3110393,1132010600,670,118.8,616.95,20241.0,CS100010,45622477.0,12,1900936.5416666667,5354.52,0.11522041191367294,2628320.2962310347,4529256.837897701
MA010120220812595260,이디야커피,,3110393,1132010600,670,118.8,616.95,20242.0,CS100010,43890394.0,12,1828766.4166666667,5354.52,0.11522041191367294,2528534.6378666996,4357301.054533366
MA010120220812595260,이디야커피,,3110393,1132010600,670,118.8,616.95,20243.0,CS100010,56363455.0,12,2348477.2916666665,5354.52,0.11522041191367294,3247110.2509888844,5595587.542655551
MA010120220812595260,이디야커피,,3110393,1132010600,670,118.8,616.95,20244.0,CS100010,50876558.0,12,2119856.5833333335,5354.52,0.11522041191367294,2931008.9847549363,5050865.56808827
MA010120220807929010,카페숲,,3130088,1123010300,1019,0.0,15208.91,,,,2,,22380.15,0.6795714059110417,,
MA0106202406A2465633,스타벅스,경동1960,3130088,1123010300,1036,2426.36,7171.24,,,,2,,22380.15,0.32042859408895824,,
MA010120220800600549,이디아,,3120094,1141011600,30-20,0.0,450.75,20241.0,CS100010,5610774188.0,460,6098667.595652174,931311.68,0.0004839947889411201,1357792.734458672,7456460.330110846
MA010120220800600549,이디아,,3120094,1141011600,30-20,0.0,450.75,20242.0,CS100010,6669699260.0,460,7249673.108695652,931311.68,0.0004839947889411201,1614049.8428222223,8863722.951517874
MA010120220800600549,이디아,,3120094,1141011600,30-20,0.0,450.75,20243.0,CS100010,5873200413.0,460,6383913.492391304,931311.68,0.0004839947889411201,1421299.1971494171,7805212.6895407215
MA010120220800600549,이디아,,3120094,1141011600,30-20,0.0,450.75,20244.0,CS100010,6189902432.0,460,6728154.817391304,931311.68,0.0004839947889411201,1497940.260570983,8226095.077962287
MA0101202409A0021931,에나꼬레,,3130173,1141012000,345-4,1031.28,6864.78,,,,1,,6864.78,1.0,,
MA010120220810199262,태무든TAEMOODEN,,3110525,1141011800,36-6,79.74,199.89,20241.0,CS100010,106328051.0,28,1898715.1964285714,8317.0,0.02403390645665504,1277739.2157262233,3176454.4121547947
MA010120220810199262,태무든TAEMOODEN,,3110525,1141011800,36-6,79.74,199.89,20242.0,CS100010,125790060.0,28,2246251.0714285714,8317.0,0.02403390645665504,1511613.2676085124,3757864.339037084
MA010120220810199262,태무든TAEMOODEN,,3110525,1141011800,36-6,79.74,199.89,20243.0,CS100010,124792950.0,28,2228445.535714286,8317.0,0.02403390645665504,1499631.0433750148,3728076.5790893007
MA010120220810199262,태무든TAEMOODEN,,3110525,1141011800,36-6,79.74,199.89,20244.0,CS100010,102435114.0,28,1829198.4642857143,8317.0,0.02403390645665504,1230957.9738763976,3060156.4381621117
MA0101202311A0083488,두번째디저트,,3110852,1159010700,1005-1,88.57,368.44,20241.0,CS100010,46536088.0,32,727126.375,11914.6,0.030923404898192133,719527.1458009501,1446653.52080095
MA0101202311A0083488,두번째디저트,,3110852,1159010700,1005-1,88.57,368.44,20242.0,CS100010,41255579.0,32,644618.421875,11914.6,0.030923404898192133,637881.4868631762,1282499.9087381763
MA0101202311A0083488,두번째디저트,,3110852,1159010700,1005-1,88.57,368.44,20243.0,CS100010,71230598.0,32,1112978.09375,11914.6,0.030923404898192133,1101346.3115471774,2214324.4052971774
MA0101202311A0083488,두번째디저트,,3110852,1159010700,1005-1,88.57,368.44,20244.0,CS100010,102000000.0,32,1593750.0,11914.6,0.030923404898192133,1577093.649807799,3170843.6498077987
MA0106202406A2465517,스타벅스,신촌,3130175,1141011600,18-55,155.04,2003.33,20241.0,CS100010,301337597.0,16,9416799.90625,51693.759999999995,0.038753807035897564,5838989.543399532,15255789.449649531
MA0106202406A2465517,스타벅스,신촌,3130175,1141011600,18-55,155.04,2003.33,20242.0,CS100010,322892167.0,16,10090380.21875,51693.759999999995,0.038753807035897564,6256650.366660406,16347030.585410405
MA0106202406A2465517,스타벅스,신촌,3130175,1141011600,18-55,155.04,2003.33,20243.0,CS100010,325279457.0,16,10164983.03125,51693.759999999995,0.038753807035897564,6302908.6546597695,16467891.68590977
MA0106202406A2465517,스타벅스,신촌,3130175,1141011600,18-55,155.04,2003.33,20244.0,CS100010,325019301.0,16,10156853.15625,51693.759999999995,0.038753807035897564,6297867.636948154,16454720.793198153
MA010120220803658119,이디야사가정점,,3120068,1126010100,496-18,70.36,295.4,20241.0,CS100010,878725141.0,56,7845760.1875,70712.92,0.004177454417099449,1835417.1108433933,9681177.298343394
MA010120220803658119,이디야사가정점,,3120068,1126010100,496-18,70.36,295.4,20242.0,CS100010,1094991997.0,56,9776714.25892857,70712.92,0.004177454417099449,2287139.5772780986,12063853.836206669
MA010120220803658119,이디야사가정점,,3120068,1126010100,496-18,70.36,295.4,20243.0,CS100010,1017286480.0,56,9082915.0,70712.92,0.004177454417099449,2124833.9496657755,11207748.949665776
MA010120220803658119,이디야사가정점,,3120068,1126010100,496-18,70.36,295.4,20244.0,CS100010,816598647.0,56,7291059.348214285,70712.92,0.004177454417099449,1705651.812453792,8996711.160668077
MA010120220810433268,로스토,,3110037,1111017500,365,61.275,175.875,20241.0,CS100010,10195928.0,20,254898.2,3920.48,0.04486057829653512,228697.61317491738,483595.81317491736
MA010120220810433268,로스토,,3110037,1111017500,365,61.275,175.875,20242.0,CS100010,13635555.0,20,340888.875,3920.48,0.04486057829653512,305849.4413471055,646738.3163471054
MA010120220810433268,로스토,,3110037,1111017500,365,61.275,175.875,20243.0,CS100010,8681986.0,20,217049.65,3920.48,0.04486057829653512,194739.45636121088,411789.10636121087
MA010120220810433268,로스토,,3110037,1111017500,365,61.275,175.875,20244.0,CS100010,6125753.0,20,153143.825,3920.48,0.04486057829653512,137402.41104086745,290546.23604086746
MA0101202311A0016316,청림무역,,3110037,1111017500,365,61.275,175.875,20241.0,CS100010,10195928.0,20,254898.2,3920.48,0.04486057829653512,228697.61317491738,483595.81317491736
MA0101202311A0016316,청림무역,,3110037,1111017500,365,61.275,175.875,20242.0,CS100010,13635555.0,20,340888.875,3920.48,0.04486057829653512,305849.4413471055,646738.3163471054
MA0101202311A0016316,청림무역,,3110037,1111017500,365,61.275,175.875,20243.0,CS100010,8681986.0,20,217049.65,3920.48,0.04486057829653512,194739.45636121088,411789.10636121087
MA0101202311A0016316,청림무역,,3110037,1111017500,365,61.275,175.875,20244.0,CS100010,6125753.0,20,153143.825,3920.48,0.04486057829653512,137402.41104086745,290546.23604086746
MA010120220812360152,9카페,,3120066,1123010600,416-5,523.89,4204.84,20241.0,CS100010,820845589.0,168,2442992.824404762,473622.12,0.008878048178999749,3643753.343330713,6086746.167735475
MA010120220812360152,9카페,,3120066,1123010600,416-5,523.89,4204.84,20242.0,CS100010,978972755.0,168,2913609.3898809524,473622.12,0.008878048178999749,4345683.642409058,7259293.032290011
MA010120220812360152,9카페,,3120066,1123010600,416-5,523.89,4204.84,20243.0,CS100010,1000074523.0,168,2976412.2708333335,473622.12,0.008878048178999749,4439354.898892096,7415767.169725429
MA010120220812360152,9카페,,3120066,1123010600,416-5,523.89,4204.84,20244.0,CS100010,894427019.0,168,2661985.175595238,473622.12,0.008878048178999749,3970383.083640562,6632368.259235799
MA010120220803705421,쥬씨삼호가든,사거리점,3120170,1165010700,52-2,190.72,1478.62,20241.0,CS100010,780182085.0,48,8126896.71875,155243.88,0.009524497841718462,3715421.292364955,11842318.011114955
MA010120220803705421,쥬씨삼호가든,사거리점,3120170,1165010700,52-2,190.72,1478.62,20242.0,CS100010,1466762846.0,48,15278779.645833334,155243.88,0.009524497841718462,6985089.780519915,22263869.42635325
MA010120220803705421,쥬씨삼호가든,사거리점,3120170,1165010700,52-2,190.72,1478.62,20243.0,CS100010,1434284404.0,48,14940462.541666666,155243.88,0.009524497841718462,6830419.355154226,21770881.89682089
MA010120220803705421,쥬씨삼호가든,사거리점,3120170,1165010700,52-2,190.72,1478.62,20244.0,CS100010,1265754732.0,48,13184945.125,155243.88,0.009524497841718462,6027839.1065394655,19212784.231539465
MA0101202305A0094771,몹시,,3120002,1111010600,108,260.7,1126.7,20241.0,CS100010,4014616298.0,244,8226672.741803279,68383.88,0.01647610518736287,33072620.20637466,41299292.94817794
MA0101202305A0094771,몹시,,3120002,1111010600,108,260.7,1126.7,20242.0,CS100010,3933409388.0,244,8060265.139344262,68383.88,0.01647610518736287,32403633.410824306,40463898.55016857
MA0101202305A0094771,몹시,,3120002,1111010600,108,260.7,1126.7,20243.0,CS100010,3531910779.0,244,7237522.088114754,68383.88,0.01647610518736287,29096066.75359237,36333588.841707125
MA0101202305A0094771,몹시,,3120002,1111010600,108,260.7,1126.7,20244.0,CS100010,4387760502.0,244,8991312.504098361,68383.88,0.01647610518736287,36146601.783954054,45137914.28805242
MA010120220800795375,마룬여유,,3110517,1141011700,75-3,112.25,458.32,20241.0,CS100010,12645482.0,12,526895.0833333334,6032.92,0.07596984544797544,480337.6565775777,1007232.7399109111
MA010120220800795375,마룬여유,,3110517,1141011700,75-3,112.25,458.32,20242.0,CS100010,12228807.0,12,509533.625,6032.92,0.07596984544797544,464510.2889015601,974043.9139015601
MA010120220800795375,마룬여유,,3110517,1141011700,75-3,112.25,458.32,20243.0,CS100010,13030981.0,12,542957.5416666666,6032.92,0.07596984544797544,494980.80630275223,1037938.3479694189
MA010120220800795375,마룬여유,,3110517,1141011700,75-3,112.25,458.32,20244.0,CS100010,12596288.0,12,524845.3333333334,6032.92,0.07596984544797544,478469.02628909383,1003314.3596224273
MA0101202212A0069021,탐앤탐스홍제역점,,3130176,1141011100,294-46,0.0,0.0,,,,2,,0.0,,,
MA010120220810013229,홍제동냇길,,3130176,1141011100,294-46,0.0,0.0,,,,2,,0.0,,,
MA010120220804670501,아케디뜨,,3130060,1117010200,1-490,0.0,3247.61,20241.0,CS100010,301263924.0,48,3138165.875,40311.32,0.08056322640885985,12135396.859016774,15273562.734016774
MA010120220804670501,아케디뜨,,3130060,1117010200,1-490,0.0,3247.61,20242.0,CS100010,536394714.0,48,5587444.9375,40311.32,0.08056322640885985,21606844.394248813,27194289.331748813
MA010120220804670501,아케디뜨,,3130060,1117010200,1-490,0.0,3247.61,20243.0,CS100010,557671463.0,48,5809077.739583333,40311.32,0.08056322640885985,22463906.167714555,28272983.907297887
MA010120220804670501,아케디뜨,,3130060,1117010200,1-490,0.0,3247.61,20244.0,CS100010,608119804.0,48,6334581.291666667,40311.32,0.08056322640885985,24496046.72668174,30830628.018348407
MA0101202210A0069909,잇푸쿠,,3110553,1144012600,254,110.23,492.23,20241.0,CS100010,35726677.0,24,744305.7708333334,19738.64,0.024937381704109304,445464.89068421134,1189770.6615175446
MA0101202210A0069909,잇푸쿠,,3110553,1144012600,254,110.23,492.23,20242.0,CS100010,36000000.0,24,750000.0,19738.64,0.024937381704109304,448872.87067396747,1198872.8706739675
MA0101202210A0069909,잇푸쿠,,3110553,1144012600,254,110.23,492.23,20243.0,CS100010,36000000.0,24,750000.0,19738.64,0.024937381704109304,448872.87067396747,1198872.8706739675
MA0101202210A0069909,잇푸쿠,,3110553,1144012600,254,110.23,492.23,20244.0,CS100010,26374058.0,24,549459.5416666666,19738.64,0.024937381704109304,328849.9757161588,878309.5173828255
MA0101202411A0148010,메가엠지씨커피북한산,아이파크점,3110408,1132010700,750-2,676.91,5629.88,20241.0,CS100010,25549257.0,28,456236.73214285716,93645.52,0.060119053212582936,767998.5705624785,1224235.3027053357
MA0101202411A0148010,메가엠지씨커피북한산,아이파크점,3110408,1132010700,750-2,676.91,5629.88,20242.0,CS100010,66103066.0,28,1180411.892857143,93645.52,0.060119053212582936,1987026.871184441,3167438.764041584
