,상가업소번호,법정동코드,고유번호,지번,상호명,지점명,TRDAR_CD,건축물면적(㎡),접한길이_m,도로2m이내접촉길이_m,교차로_존재_여부
0,MA010120220800672495,1162010200,1.16201020011602e+18,1602-1,가비수구.거니는집,,3130284,1041.32,65.26184012043039,157.6686661055776,True
1,MA0101202406A0465702,1171011100,1.17101110010048e+18,48-2,카페인중독잠실,방이점,3120233,0.0,0.0,30.46007282382481,False
2,MA0106202410A0428092,1174010100,1.17401010010338e+18,338-17,제이든커피로스터스JDCR,,3111080,98.1,0.0,30.417114042105663,False
3,MA010120220803375113,1141011700,1.14101170010131e+18,131-1,커피가게동경연희점,,3130174,0.0,96.21336587539068,115.44073268538042,False
4,MA010120220813491137,1168010700,1.1680107001051e+18,510-11,컴포즈커피강남,시장점,3130302,1967.91,65.92562954143463,157.4711732954195,False
5,MA0101202310A0083403,1138010500,1.1380105001019e+18,190-8,컴포즈커피은평서북,병원점,3110450,0.0,0.0,43.81570684635649,False
6,MA010120220814115583,1159010500,1.15901050010043e+18,43-5,더치앤빈흑리단길점,,3110842,84.83,16.257539236215294,29.39977937561448,False
7,MA010120220807123745,1114015700,1.11401570010207e+18,207-2,세운나다방,,3130033,3363.97,1138.1795841680696,492.6191026526898,True
8,MA010120220813241715,1114015700,1.11401570010207e+18,207-2,브라운컬렉션,,3130033,3363.97,1138.1795841680696,492.6191026526898,True
9,MA0101202303A0114093,1114015700,1.11401570010207e+18,207-2,서울바나나커피,을지로4가점,3130033,3363.97,1138.1795841680696,492.6191026526898,True
10,MA010120220803699812,1114015700,1.11401570010207e+18,207-2,챔프커피,,3130033,3363.97,1138.1795841680696,492.6191026526898,True
11,MA0101202307A0001081,1114015700,1.11401570010207e+18,207-2,이프프커피,,3130033,3363.97,1138.1795841680696,492.6191026526898,True
12,MA0101202305A0155336,1114015700,1.11401570010207e+18,207-2,헤일리스커피,을지로점,3130033,3363.97,1138.1795841680696,492.6191026526898,True
13,MA0101202406A0288695,1114015700,1.11401570010207e+18,207-2,리오네커피,,3130033,3363.97,1138.1795841680696,492.6191026526898,True
14,MA010120220807113501,1114015700,1.11401570010207e+18,207-2,해피클럽,,3130033,3363.97,1138.1795841680696,492.6191026526898,True
15,MA0101202409A0004940,1114015700,1.11401570010207e+18,207-2,톤즈,,3130033,3363.97,1138.1795841680696,492.6191026526898,True
16,MA010120220806525068,1114015700,1.11401570010207e+18,207-2,빈티지라이언,,3130033,3363.97,1138.1795841680696,492.6191026526898,True
17,MA010120220810045634,1114015700,1.11401570010207e+18,207-2,호랑이,,3130033,3363.97,1138.1795841680696,492.6191026526898,True
18,MA0101202209A0021984,1117010800,1.1170108001026e+18,260-1,아르팡,,3130057,,,,
19,MA0106202303A1044347,1120010700,1.12001070010019e+18,19-54,멀티커피,한양대점,3130069,,,,
20,MA010120220805143379,1120010700,1.12001070010019e+18,19-54,티아트커피로스터스,,3130069,,,,
21,MA010120220802972784,1129013700,1.12901370010064e+18,64-1,카페쏙,,3110323,0.0,0.0,27.034205895054424,False
22,MA010120220804964341,1126010100,1.12601010010185e+18,185-1,단조,,3130106,201.79,23.273016189783625,50.69879158160572,False
23,MA010120220812595260,1132010600,1.1320106001067e+18,670,이디야커피,,3110393,118.8,0.0,37.98234613261161,True
24,MA010120220807929010,1123010300,1.12301030011019e+18,1019,카페숲,,3130088,0.0,0.0,0.0,False
25,MA0106202406A2465633,1123010300,1.12301030011036e+18,1036,스타벅스,경동1960,3130088,2426.36,16.669428181125195,202.04035981572432,True
26,MA010120220800600549,1141011600,1.1410116001003e+18,30-20,이디아,,3120094,0.0,0.0,33.111030695026315,False
27,MA0101202409A0021931,1141012000,1.14101200010345e+18,345-4,에나꼬레,,3130173,1031.28,0.0,0.0,True
28,MA010120220810199262,1141011800,1.14101180010036e+18,36-6,태무든TAEMOODEN,,3110525,,,,
29,MA0101202311A0083488,1159010700,1.15901070011005e+18,1005-1,두번째디저트,,3110852,88.57,0.0,37.648160463046246,False
30,MA0106202406A2465517,1141011600,1.14101160010018e+18,18-55,스타벅스,신촌,3130175,,,,
31,MA010120220803658119,1126010100,1.12601010010496e+18,496-18,이디야사가정점,,3120068,70.36,8.412558864413793,22.62506980608059,True
32,MA010120220810433268,1111017500,1.11101750010365e+18,365,로스토,,3110037,122.55,6.831727123229346,43.92241666550936,False
33,MA0101202311A0016316,1111017500,1.11101750010365e+18,365,청림무역,,3110037,122.55,6.831727123229346,43.92241666550936,False
34,MA010120220812360152,1123010600,1.12301060010416e+18,416-5,9카페,,3120066,523.89,4.647096932139453,40.107037863631135,False
35,MA010120220803705421,1165010700,1.16501070010052e+18,52-2,쥬씨삼호가든,사거리점,3120170,190.72,0.0,31.64379588091669,False
36,MA0101202305A0094771,1111010600,1.11101060010108e+18,108,몹시,,3120002,260.7,9.736206152936424,38.40992006164402,True
37,MA010120220800795375,1141011700,1.14101170010075e+18,75-3,마룬여유,,3110517,112.25,0.0,21.077549729994697,False
38,MA0101202212A0069021,1141011100,1.14101110010294e+18,294-46,탐앤탐스홍제역점,,3130176,0.0,17.233494610990256,504.5628556358553,True
39,MA010120220810013229,1141011100,1.14101110010294e+18,294-46,홍제동냇길,,3130176,0.0,17.233494610990256,504.5628556358553,True
40,MA010120220804670501,1117010200,1.1170102001000104e+18,1-490,아케디뜨,,3130060,,,,
41,MA0101202210A0069909,1144012600,1.14401260010254e+18,254,잇푸쿠,,3110553,110.23,0.0,41.82564672911465,False
42,MA0101202411A0148010,1132010700,1.1320107001075e+18,750-2,메가엠지씨커피북한산,아이파크점,3110408,676.91,6.698679074338962,93.98011339712448,False
